"","X1","real","id","item_num","treatment","control","realxtreatment","realxcontrol","attentive","avg_fake","avg_real","discernment","rating","hispanic","social_conserv","covid_concern_1","mms","crt_acc","study","sciknow","demrep","gender","age"
"72",72,1,3,21,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"73",73,0,3,7,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"74",74,1,3,22,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"75",75,0,3,8,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"76",76,1,3,23,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"77",77,0,3,9,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"78",78,1,3,24,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"79",79,0,3,10,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"80",80,1,3,25,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"81",81,0,3,11,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"82",82,1,3,26,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"83",83,0,3,12,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"84",84,1,3,27,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"85",85,0,3,13,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"86",86,1,3,28,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"87",87,0,3,14,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"88",88,1,3,29,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"89",89,0,3,15,0,1,0,0,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"90",90,1,3,30,0,1,0,1,1,0,0,0,0,0,2,0.18,4.5,0,1,0.352941176470588,1,0,72
"91",91,0,4,1,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"92",92,1,4,16,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"93",93,0,4,2,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"94",94,1,4,17,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"95",95,0,4,3,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"96",96,1,4,18,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"97",97,0,4,4,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"98",98,1,4,19,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"99",99,0,4,5,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"100",100,1,4,20,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"101",101,0,4,6,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"102",102,1,4,21,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"103",103,0,4,7,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"104",104,1,4,22,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"105",105,0,4,8,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"106",106,1,4,23,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"107",107,0,4,9,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"108",108,1,4,24,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"109",109,0,4,10,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"110",110,1,4,25,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"111",111,0,4,11,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"112",112,1,4,26,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"113",113,0,4,12,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"114",114,1,4,27,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"115",115,0,4,13,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"116",116,1,4,28,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"117",117,0,4,14,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"118",118,1,4,29,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"119",119,0,4,15,0,1,0,0,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"120",120,1,4,30,0,1,0,1,1,0,0,0,0,0,4,0.14,2.5,0.333333333333333,1,0.764705882352941,1,1,65
"121",121,0,5,1,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"122",122,1,5,16,0,1,0,1,1,0.786666677333333,0.746666678,-0.0399999993333333,0.60000002,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
"123",123,0,5,2,0,1,0,0,1,0.786666677333333,0.746666678,-0.0399999993333333,0.80000001,0,5,1.7,5.2,0,1,0.529411764705882,1,1,38
