"","real","id","item_num","treatment","control","realxtreatment","realxcontrol","demrep","attentive","avg_fake","avg_real","discernment","rating","age","gender","hispanic","social_conserv","covid_concern_1","sciknow","mms","crt_acc","study"
"1522",0,1522,1,1,0,0,0,0,1,0.14666666,0.54666666,0.2,0.2,0.88,0,0,1,1.82,0.823529412,5.1,0.833333333,0
"1523",0,1523,1,1,0,0,0,1,1,0.49333334,0.6666667,-0.026666666,0,0.46,0,0,3,1.02,0.529411765,6.7,0.166666667,0
"1524",0,1524,1,0,1,0,0,0,1,0.44,0.56,-0.079999996,0.2,1.16,0,0,3,2,0.470588235,3.6,0.333333333,0
"1525",0,1525,1,1,0,0,0,0,1,0.01333334,0,-0.213333334,0,0.88,1,0,3,1.4,0.705882353,4.1,0.666666667,0
"1526",0,1526,1,0,1,0,0,1,0,0.62666664,0.6666667,-0.16,0.6,1.1,0,0,4,1.4,0.647058824,3.1,0.666666667,0
"1527",0,1527,1,0,1,0,0,1,1,0.30666666,0.34666666,-0.16,0.8,0.66,0,0,2,2,0.705882353,2.9,0.333333333,0
"1528",0,1528,1,1,0,0,0,1,0,0.36,0.2,-0.360000002,0,1.3,0,0,4,0.4,0.705882353,2.9,0.666666667,0
"1529",0,1529,1,1,0,0,0,0,0,0.4,0.4,-0.2,0.4,0.78,0,1,3,1.78,0,4.6,0.166666667,0
"1530",0,1530,1,0,1,0,0,0,1,0.45333334,0.62666664,-0.026666666,0.2,0.94,0,0,2,1.7,0.588235294,5.2,0.5,0
"1531",0,1531,1,0,1,0,0,0,1,0.65333338,0.6666667,-0.186666666,0.4,0.74,0,1,2,1.82,0.882352941,4.9,0.333333333,0
"1532",0,1532,1,1,0,0,0,1,1,0,0,-0.2,0,1.5,1,0,4,1.02,0.941176471,5.6,0.833333333,0
"1533",0,1533,1,1,0,0,0,0,1,0.37333332,0.36,-0.213333334,0,1.32,0,0,3,1.54,0.823529412,4.7,0.333333333,0
"1534",0,1534,1,0,1,0,0,0,1,1,1,-0.2,1,0.66,0,0,3,2,0.235294118,5.4,0,0
"1535",0,1535,1,0,1,0,0,0,1,0,0.26666666,0.06666668,0,1.26,1,0,2,1.9,1,2.5,0.833333333,0
"1536",0,1536,1,1,0,0,0,0,1,0,0,-0.2,0,1.38,1,0,2,2,0.411764706,4.2,0.833333333,0
"1537",0,1537,1,0,1,0,0,0,1,0.28000002,0.36,-0.119999998,0.2,1,0,0,4,1.6,0.647058824,3.9,0.666666667,0
"1538",0,1538,1,1,0,0,0,1,1,0.29333334,0.56,0.06666668,0.4,1.12,1,0,5,1.58,0.470588235,5.5,0.166666667,0
"1539",0,1539,1,0,1,0,0,1,1,0,0.10666666,-0.093333328,0,1.3,1,0,5,1.3,0.294117647,4.7,0.5,0
"1540",0,1540,1,1,0,0,0,0,0,0.62666664,0.61333332,-0.213333334,0.6,0.44,0,1,2,1.28,0.588235294,3.6,0.5,0
"1541",0,1541,1,1,0,0,0,1,1,0,0.01333334,-0.186666666,0,1.38,1,0,5,1.3,0.705882353,4.6,0.5,0
"1542",0,1542,1,0,1,0,0,0,0,0.30666666,0.24,-0.266666668,0.6,0.5,1,0,3,0.5,0.588235294,3.4,0.333333333,0
"1543",0,1543,1,1,0,0,0,0,0,0.24,0.21333332,-0.226666668,0,0.42,0,0,3,1.84,0.352941176,5.1,0,0
"1544",0,1544,1,0,1,0,0,0,1,0.31999998,0.36,-0.16,0.2,0.38,1,0,1,1.52,0.823529412,5.2,0.666666667,0
"1545",0,1545,1,0,1,0,0,1,1,0,0.02666666,-0.173333332,0,1.42,0,0,3,1.62,0.764705882,5.1,0.5,0
"1546",0,1546,1,0,1,0,0,0,1,0.45333334,0.53333334,-0.119999998,0.2,0.8,0,0,2,2,0.588235294,3.8,0.333333333,0
"1547",0,1547,1,1,0,0,0,0,1,0.02666666,0.09333334,-0.133333332,0.2,1,1,0,3,2,0.647058824,5.8,0.5,0
"1548",0,1548,1,0,1,0,0,0,1,0.9333333,0.9333333,-0.2,1,1.12,0,0,3,1.92,0.705882353,5.5,0.333333333,0
"1549",0,1549,1,1,0,0,0,0,1,0.05333334,0.24,-0.013333332,0.2,0.52,0,0,2,1.24,0.470588235,4.4,0.5,0
"1550",0,1550,1,1,0,0,0,0,1,0.49333334,0.53333334,-0.16,0.6,0.44,1,0,2,1.2,0.352941176,4.5,0,0
"1551",0,1551,1,0,1,0,0,1,0,0.53333334,0.48000002,-0.253333336,0.4,0.48,1,1,1,1.62,0.529411765,5.3,0.666666667,0
"1552",0,1552,1,0,1,0,0,0,1,0.58666668,0.63999996,-0.146666664,0.8,0.46,1,0,1,1.5,0.411764706,4.5,0.5,0
"1553",0,1553,1,1,0,0,0,0,1,0.18666666,0.06666668,-0.320000004,0.2,0.46,1,1,3,1.3,0.705882353,5.2,0.166666667,0
"1554",0,1554,1,1,0,0,0,0,1,0.38666668,0.41333332,-0.173333332,0.8,0.42,1,0,2,1.44,0.941176471,4.6,0.333333333,0
"1555",0,1555,1,0,1,0,0,0,1,0.12,0.2,-0.119999998,0,1.1,0,0,2,2,0.764705882,5.4,0.5,0
"1556",0,1556,1,0,1,0,0,0,0,0.7333333,0.56,-0.373333334,0.6,0.42,1,0,4,1.1,0.411764706,4.4,0.333333333,0
"1557",0,1557,1,0,1,0,0,0,1,0,0,-0.2,0,1.18,0,0,3,2,0.117647059,4.8,0.833333333,0
"1558",0,1558,1,0,1,0,0,0,1,0.51999998,0.31999998,-0.4,0.2,0.5,0,0,3,0.4,0.647058824,4.1,0.5,0
"1559",0,1559,1,1,0,0,0,1,1,0.25333334,0.26666666,-0.186666666,0,1.04,0,0,4,2,0.705882353,3.8,0.666666667,0
"1560",0,1560,1,1,0,0,0,1,0,0.61333332,0.70666666,-0.106666666,0.8,0.9,1,0,5,1.42,0.647058824,4.5,0.333333333,0
"1561",0,1561,1,0,1,0,0,0,1,0.31999998,0.37333332,-0.146666664,0.2,0.52,1,0,3,1.48,0.588235294,5.3,0,0
"1562",0,1562,1,1,0,0,0,0,1,0.9333333,0.8,-0.333333338,1,1.12,0,0,3,1.64,0.764705882,5.9,0.5,0
"1563",0,1563,1,0,1,0,0,0,1,1,1,-0.2,1,0.7,1,0,1,2,0.529411765,5.9,0.166666667,0
"1564",0,1564,1,1,0,0,0,1,1,0.54666666,0.57333332,-0.173333332,0.4,1.46,1,0,5,1.66,0.529411765,5.2,0.333333333,0
"1565",0,1565,1,0,1,0,0,0,1,0.42666668,0.6,-0.026666666,0,1.18,1,0,4,1.62,0.294117647,3.9,0,0
"1566",0,1566,1,1,0,0,0,0,0,0.6,0.6,-0.2,0.6,0.38,0,1,1,1.6,0.588235294,4,0.333333333,0
"1567",0,1567,1,1,0,0,0,0,1,0,0,-0.2,0,1.08,1,0,3,1.8,0.352941176,4,0.833333333,0
"1568",0,1568,1,0,1,0,0,1,1,0.2,0.46666666,0.06666668,0,0.92,0,1,3,1.64,0.529411765,4.4,0.333333333,0
"1569",0,1569,1,0,1,0,0,1,1,0.63999996,0.33333334,-0.50666666,0.6,1.04,0,0,5,0,0.470588235,1.6,0.666666667,0
"1570",0,1570,1,1,0,0,0,0,1,0.02666666,0.62666664,0.4,0,0.96,1,0,2,1.86,0.764705882,5.1,0.166666667,0
"1571",0,1571,1,1,0,0,0,0,0,0.49333334,0.53333334,-0.16,0.4,0.86,1,0,3,1.56,0.823529412,4.4,0.5,0
"1572",0,1572,1,0,1,0,0,1,0,0.51999998,0.57333332,-0.146666664,0.4,0.72,1,0,3,1.24,0.588235294,5.2,0.166666667,0
"1573",0,1573,1,1,0,0,0,0,1,0.04,0.28000002,0.04,0,0.98,1,0,1,0.62,1,2.6,0.666666667,0
"1574",0,1574,1,1,0,0,0,0,1,0.7333333,0.7333333,-0.2,0.4,1.4,1,0,2,1.94,0.470588235,5.9,0.666666667,0
"1575",0,1575,1,1,0,0,0,0,0,0.17333334,0.33333334,-0.039999998,0,0.84,0,0,3,0.2,0.529411765,4.1,0.166666667,0
"1576",0,1576,1,1,0,0,0,0,1,0.17333334,0.31999998,-0.05333333,0.2,1.06,0,1,2,2,0.588235294,5.1,0,0
"1577",0,1577,1,1,0,0,0,1,1,0.54666666,0.57333332,-0.173333332,0.2,1.32,0,1,4,1.48,0.235294118,5.1,0.5,0
"1578",0,1578,1,0,1,0,0,0,1,0.10666666,0.17333334,-0.133333332,0,0.72,0,0,2,1,0.705882353,3.9,0,0
"1579",0,1579,1,1,0,0,0,0,1,0.57333332,0.61333332,-0.16,0.6,0.94,0,0,2,1.82,0.588235294,3.7,0.333333333,0
"1580",0,1580,1,1,0,0,0,0,1,0.09333334,0.06666668,-0.226666668,0,0.76,0,0,3,1,0.352941176,4.7,0.166666667,0
"1581",0,1581,1,0,1,0,0,0,1,0.44,0.42666668,-0.213333334,0.6,0.52,0,1,1,1.6,0.529411765,4.9,0.166666667,0
"1582",0,1582,1,1,0,0,0,0,1,0.81333332,0.85333338,-0.16,0.8,0.82,0,0,4,1.78,0.529411765,5,0,0
"1583",0,1583,1,0,1,0,0,0,0,0.50666666,0.41333332,-0.293333334,0.6,1.16,0,0,3,2,0.352941176,4.8,0,0
