"","datacollection","condition","new_whomoreimm","new_whoblamew","bigot_personjudge","new_acttellmor","new_behtellmor","bigot_infovalue","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"23",1,0,2,2,2,3,3,3,2,2,1994,187,20,2,6,"0",NA,"St. Paul","55105",1,"70000",""
"24",1,1,2,2,2,3,4,3.5,5,2,1994,187,20,6,6,"2",2,"Prior Lake","55372",1,"500,000",""
"25",1,0,3,3,3,6,7,6.5,6,2,1993,187,21,1,5,"0",2,"White Bear Lake","55110",1,"180,000",""
"26",1,0,2,2,2,2,2,2,5,1,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"60000",""
"27",1,0,1,3,2,1,1,1,5,1,1994,187,21,1,4,"1",2,"Stillwater","55082",1,"$120,000",""
"28",1,0,2,2,2,2,4,3,6,2,1995,187,20,1,5,"0",2,"St. Paul","55105",1,"100,000",""
"29",1,1,1,1,1,1,1,1,NA,1,1990,187,24,1,4,"0",2,"St. Paul","55104",1,"110000",""
"30",1,0,3,3,3,4,4,4,4,2,1993,128,10,1,6,"0",2,"St. Paul","55117",1,"150000",""
"31",1,1,1,1,1,1,1,1,4,1,1992,126,22,4,4,"0",2,"Woodbury","55125",1,"150000",""
"32",1,0,2,2,2,1,5,3,5,2,1994,187,20,1,6,"0",2,"St. Paul","55104",1,"$185,000",""
"33",1,0,2,2,2,2,4,3,7,1,1994,187,21,1,4,"0",2,"Coon Rapids","55448",1,"40000",""
"34",1,1,2,2,2,2,6,4,5,1,1995,187,19,1,6,"0",2,"Waconia","55387",2,"$300,000",""
"35",1,1,3,3,3,2,5,3.5,4,2,1995,187,19,1,4,"0",2,"Hutchinson","55350",1,"US $175,000",""
"36",1,1,2,1,1.5,1,6,3.5,4,2,1993,187,21,2,4,"0",2,"Lakeville","55044",1,"$70,000",""
"37",1,1,3,3,3,2,1,1.5,4,2,1995,187,19,1,6,"0",2,"St. Paul","55106",1,"600,000",""
"38",1,0,6,1,3.5,1,2,1.5,4,2,1993,187,21,1,4,"1",2,"Elmhurst","60126",1,"",""
"39",1,0,1,1,1,1,1,1,4,2,1994,187,20,1,5,"0",2,"St. Paul","55104",1,"100000",""
"40",1,0,1,1,1,1,1,1,5,1,1994,187,20,1,5,"1",1,"Woodbury","55129",1,"100,000",""
"41",1,1,3,3,3,2,2,2,6,2,1995,187,20,1,5,"1",2,"St. Paul","55116",1,"250000",""
"42",1,0,3,3,3,3,3,3,6,1,1993,187,22,1,4,"0",2,"st paul","55104",1,"x",""
"43",1,1,5,5,5,7,7,7,4,1,1994,187,20,1,0,"",2,"Mahtomedi","55115",1,"200000",""
"44",1,0,2,2,2,2,2,2,4,2,1992,192,15,2,3,"0",2,"burnsville","55337",1,"35000",""
"45",1,0,4,3,3.5,4,4,4,4,1,1993,185,21,2,3,"2",2,"eden prairie","555347",2,"3,100,000.00",""
"46",1,0,1,1,1,1,1,1,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"47",1,0,2,3,2.5,4,4,4,6,1,1993,187,21,1,5,"2",2,"St. Paul","55116",1,"200,000",""
"48",1,0,6,1,3.5,1,4,2.5,2,2,1993,187,21,1,5,"0",2,"St. Paul","55105",2,"130,000",""
"49",1,1,3,1,2,1,7,4,4,1,1994,187,20,1,6,"0",2,"Apple Valley","55124",1,"90000",""
"50",1,1,2,3,2.5,1,1,1,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"51",1,1,3,3,3,1,6,3.5,5,2,1993,187,21,1,5,"0",2,"Dubuque","52003",1,"$500,000",""
"52",1,0,1,1,1,1,1,1,6,1,1990,187,24,1,5,"1",2,"Hanover","55341",1,">100000",""
"53",1,1,2,3,2.5,1,7,4,2,2,1993,187,21,1,5,"1",2,"Lakeville","55044",1,"325,000",""
"54",1,1,6,2,4,1,4,2.5,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"55",1,1,1,1,1,1,1,1,6,1,1992,187,22,1,4,"0",2,"Blaine","55449",2,"125000",""
"56",1,0,3,3,3,1,6,3.5,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"57",1,0,1,1,1,1,7,4,4,1,1993,187,21,1,4,"0",2,"st paul","55102",1,"",""
"58",1,0,2,2,2,1,6,3.5,3,2,1994,187,20,1,6,"1",2,"Apple Valley","55124",1,"$180,000",""
"59",1,1,4,3,3.5,3,6,4.5,3,2,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"$1000000",""
"60",1,1,1,1,1,1,1,1,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"61",1,1,2,2,2,1,1,1,6,2,1994,187,21,4,6,"2",2,"Saint Paul","55105",1,"70,000",""
"62",1,1,1,2,1.5,2,1,1.5,4,1,1994,187,21,1,4,"0",2,"Minneapolis","55417",1,"120,000",""
"63",1,1,2,3,2.5,2,3,2.5,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",1,"30000",""
"64",1,0,1,1,1,1,7,4,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"65",1,0,3,3,3,3,3,3,4,2,1993,36,15,2,5,"0",2,"Saint Paul","55105",1,"50000",""
"66",1,1,2,2,2,2,6,4,6,2,1993,187,21,1,6,"1",2,"St.Paul","55105",1,"NA",""
"67",1,1,1,1,1,1,7,4,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"68",1,1,7,7,7,1,1,1,5,2,1992,187,22,1,0,"0",2,"saint paul","55104",1,"90000",""
"69",1,0,2,2,2,1,7,4,4,1,1995,187,19,1,5,"0",2,"St. Paul","55105",1,"200000",""
"70",1,0,3,2,2.5,2,7,4.5,6,1,1194,187,21,1,6,"0",2,"Saint Paul","55105",1,"130000",""
"71",1,0,3,3,3,1,3,2,4,2,1993,187,21,1,4,"0",2,"Minneapolis","55413",1,"20000",""
"72",1,1,2,2,2,1,7,4,7,1,1987,187,28,2,5,"0",2,"Rogers","55374",1,"36000",""
"73",1,1,1,1,1,1,1,1,6,1,1994,187,20,1,3,"3",2,"Forest Lake","55025",1,"100000",""
"74",1,0,1,2,1.5,1,2,1.5,4,1,1994,162,20,2,6,"0",2,"Saint Paul, Minnesota","55105",1,"400,000",""
"75",1,0,1,1,1,1,1,1,4,1,1988,187,24,1,0,"0",2,"Little Canada","55117",1,"",""
"76",1,0,1,2,1.5,4,2,3,2,1,1995,187,19,1,6,"10",2,"St. paul","55105",1,"400,000",""
"77",1,1,1,1,1,1,1,1,6,NA,1994,187,21,1,4,"0",2,"St. Paul","55105",1,"$100,000",""
"78",1,1,2,2,2,2,4,3,5,2,1992,187,22,1,5,"1",2,"St. Paul","55105",1,"120000",""
"79",1,0,4,4,4,4,4,4,5,1,1992,187,22,1,6,"0",2,"St.Paul","",1,"",""
"80",1,1,1,1,1,4,1,2.5,5,2,1993,128,0,1,5,"0",2,"Saint Paul","55105",2,"150000",""
"81",1,0,1,1,1,1,1,1,7,1,1992,186,22,1,6,"2",2,"St. Paul","55105",1,"500000",""
"82",1,1,1,1,1,1,1,1,7,1,1995,187,20,3,6,"0",2,"Woodbury","55129",1,"180,000",""
"83",1,0,1,1,1,1,1,1,2,2,1996,187,18,1,5,"1",1,"Saint Paul, Minnesota","55015",1,"$70,000",""
"84",1,1,1,1,1,1,1,1,4,2,1993,187,21,1,4,"0",2,"St. Paul","5501",1,"160,000",""
"85",1,0,7,7,7,4,7,5.5,4,1,1992,187,22,1,6,"0",2,"st. paul","55105",1,"120,000",""
"86",1,0,3,3,3,2,4,3,6,2,1992,187,22,1,5,"5",2,"shorewood","55331",1,"$300,000",""
"87",1,1,4,4,4,4,4,4,4,2,1991,187,23,1,5,"",2,"St. Paul","55401",1,"I don't know",""
"88",1,0,2,2,2,2,2,2,4,1,1993,187,21,1,4,"0",2,"Saint Paul, MN","55105",1,"100000",""
"89",1,1,2,3,2.5,1,3,2,4,2,1994,187,20,1,6,"0",2,"Eden Prairie","55346",1,"175,000",""
"90",1,1,1,4,2.5,1,1,1,3,1,1993,97,22,4,4,"3",2,"St. Paul","55105",2,"$60,000",""
"91",1,1,2,2,2,1,1,1,5,1,1964,187,50,1,5,"0",2,"roseville","55113",1,"200000",""
"92",1,0,1,1,1,1,1,1,4,1,1993,187,21,1,6,"0",2,"Brewster, MA","2631",1,"$500,000",""
"93",1,1,2,2,2,1,6,3.5,3,2,1992,187,22,1,5,"0",2,"St. Paul","55104",1,"Not sure",""
"94",1,0,2,2,2,2,6,4,6,2,1994,187,20,1,5,"0",2,"eagan","55122",1,"200,000+",""
"95",1,0,2,2,2,1,1,1,2,2,1993,187,21,1,6,"0",2,"Saint Paul","55104",1,"400,000",""
"96",1,0,2,2,2,2,2,2,2,1,1993,187,21,1,5,"0",2,"St. Paul","55105",1,"75000",""
"97",1,0,1,1,1,1,1,1,1,2,1994,187,21,1,4,"0",2,"St. Paul","55104",1,"90,000",""
"98",1,1,4,1,2.5,1,4,2.5,4,1,1994,187,20,1,4,"0",2,"st.paul","55014",1,"250,000",""
"99",1,1,1,1,1,1,1,1,2,1,1993,187,21,1,4,"0",2,"Roseville","55113",1,"75000",""
"100",1,0,2,2,2,2,4,3,7,1,1994,78,20,5,6,"1",2,"Ramsey","55303",2,"75,000",""
"101",1,0,4,4,4,4,4,4,5,1,1991,187,24,1,6,"0",2,"Saint Paul","55104",1,"N/A",""
"102",1,1,1,1,1,1,7,4,4,2,1995,187,19,1,6,"2",2,"St. Paul","55105",1,"200000",""
"103",1,0,2,2,2,1,1,1,4,1,1993,187,20,1,4,"1",2,"Hutchinson","55350",1,"100,000",""
"104",1,0,5,5,5,7,7,7,2,NA,1993,187,22,1,4,"1",2,"Plymouth","55447",1,"200000",""
"105",1,1,1,1,1,1,2,1.5,4,2,1994,187,20,1,6,"0",2,"Woodbury","55125",1,"100,000",""
"106",1,0,1,1,1,1,1,1,1,2,1994,187,21,4,5,"0",2,"St. Paul","55119",1,"",""
"107",1,0,2,2,2,1,1,1,5,1,1993,187,22,1,4,"0",2,"St. Paul","55104",2,"90,000",""
"108",1,0,2,3,2.5,2,5,3.5,4,2,1993,187,21,1,4,"0",2,"Kenosha","53144",1,"120,000",""
"109",1,1,2,2,2,2,2,2,7,1,1995,187,19,1,4,"0",2,"Eagan","55123",1,"130000",""
"110",1,1,1,1,1,1,7,4,3,1,1993,187,21,3,4,"2",2,"Edina","55436",1,"170,000",""
"111",1,1,1,1,1,1,1,1,4,2,1995,187,20,1,4,"0",2,"St. Paul","55105",1,"100,000",""
"112",1,0,2,2,2,1,1,1,2,2,1994,187,21,1,4,"0",2,"Ellendale","56026",1,"60,000",""
"113",1,1,3,3,3,2,2,2,4,2,1993,187,21,2,6,"0 Marketing",2,"Minnetonka","55343",1,"200000",""
"114",1,0,2,2,2,2,2,2,6,1,1995,187,20,1,3,"0",2,"Zumbrota","55992",2,"45,000",""
"115",1,1,1,1,1,1,1,1,1,2,1985,187,29,1,6,"2",1,"Saint Paul","55105",1,"148000",""
"116",1,0,1,1,1,1,6,3.5,5,1,1995,187,19,1,5,"0",2,"Saint Paul","55104",1,"250,000",""
"117",1,1,3,3,3,4,5,4.5,3,2,1995,187,19,1,4,"0",2,"St. Paul","55113",1,"$65,000",""
"118",1,1,3,3,3,6,6,6,6,2,1993,187,22,1,5,"1",2,"St. Paul","55105",1,"$175,000",""
"119",1,0,2,2,2,1,2,1.5,5,2,1995,187,19,1,4,"0",2,"St. Paul","55105",1,"700000",""
"120",1,1,3,1,2,2,4,3,4,2,1994,187,20,1,6,"0",2,"St Paul","55105",1,"100000",""
"121",1,1,1,1,1,1,1,1,5,2,1995,187,19,1,6,"1",2,"Saint Paul","55105",1,"350,000",""
"122",1,0,3,3,3,2,3,2.5,6,2,1994,187,20,1,4,"0",2,"Hudson","54016",1,"$100,000",""
"123",1,0,4,4,4,3,6,4.5,7,2,1995,187,19,1,5,"1",1,"West Saint Paul","55118",2,"70,000",""
"124",1,0,6,5,5.5,1,1,1,6,1,1994,187,20,1,5,"0",2,"De Pere","54115",1,"200000",""
"125",1,1,3,3,3,2,6,4,6,2,1994,187,0,1,4,"0",2,"Hampton","55031",1,"60000",""
"126",1,0,1,1,1,1,1,1,5,1,1993,187,21,1,6,"0",2,"wayzata","55446",1,"300000",""
"127",1,1,3,4,3.5,3,3,3,4,1,1994,187,21,1,4,"1",2,"Sait Paul","55105",1,"285,000+",""
"128",1,0,1,1,1,1,1,1,5,1,1993,187,21,1,5,"10",2,"Mendota Heights","55120",1,"275,000",""
"129",2,1,2,3,2.5,4,4,4,2,2,1995,187,19,1,6,"0",2,"SAN JOSE","95129",1,"300000",""
"130",2,0,4,3,3.5,4,4,4,6,2,1995,61,9,1,6,"0",2,"washington dc","20016",1,"130000",""
"131",2,0,1,1,1,1,1,1,7,2,1993,187,21,1,4,"8",1,"Washington, DC","20016",1,"300,000",""
"132",2,0,2,3,2.5,2,2,2,4,2,1995,187,19,1,5,"0",2,"Sag Harbor","11963",1,"",""
"133",2,0,1,1,1,1,1,1,2,1,1996,187,18,3,6,"0",2,"Arlington","22204",1,"$130,000",""
"134",2,0,1,1,1,1,1,1,1,2,1996,187,18,1,6,"0",2,"Washington DC","20016",1,"$100,000",""
"135",2,0,6,2,4,6,2,4,4,2,1996,187,18,6,5,"0",2,"Kailua","96734",1,"100,00",""
"136",2,1,2,2,2,5,3,4,4,2,1995,86,2,2,5,"0",2,"Washington","20016",1,"80000",""
"137",2,0,2,2,2,2,4,3,6,1,1994,21,20,3,6,"2",2,"Washington DC","20016",1,"1000000",""
"138",2,0,4,4,4,3,2,2.5,6,2,1996,187,18,6,6,"0",2,"Boston, MA","1760",1,"500",""
"139",2,0,4,4,4,1,1,1,4,2,93,187,21,4,5,"2",2,"Washington DC","20016",1,"48,000",""
"140",2,1,1,5,3,7,1,4,4,2,1993,10,3,1,3,"3",1,"Washington DC","20016",1,"30,000",""
"141",2,0,1,7,4,1,1,1,4,1,1996,187,19,4,5,"1",2,"Germantown","20841",1,"",""
"142",2,0,4,4,4,5,4,4.5,3,1,1992,187,22,1,6,"0",2,"Washington, DC","20016",1,"400,000",""
"143",2,0,1,1,1,2,4,3,5,1,1981,196,25,2,6,"3",2,"Washington, DC","20018",1,"75000",""
"144",2,1,5,1,3,1,7,4,4,2,1995,36,19,2,5,"2",2,"Washington","20016",1,"",""
"145",2,1,2,2,2,1,1,1,2,2,1994,187,20,0,6,"5",2,"Westchester NY","10579",1,"300,000",""
"146",2,1,2,1,1.5,1,6,3.5,4,2,1994,136,18,2,5,"2",1,"North Bethesda","20852",1,"120000",""
"147",2,1,1,1,1,1,7,4,3,2,1994,187,20,1,4,"3",2,"Denville","7834",1,"260,000",""
"148",2,1,1,1,1,1,1,1,4,1,1994,74,18,3,4,"0",2,"Washington DC","20016",1,"800000",""
"149",2,1,1,1,1,1,1,1,4,2,1994,86,5,2,4,"0",2,"Washington","20016",2,"$500000",""
"150",2,0,1,5,3,1,1,1,4,2,1994,137,3,1,4,"0",2,"Sejny","16500",1,"16000",""
"151",2,1,2,2,2,1,2,1.5,2,2,20,187,20,3,4,"0",2,"Washington, DC","20016",1,"60,000",""
"152",2,0,2,4,3,4,1,2.5,0,2,1992,151,4,0,5,"0",2,"Arlington","22204",1,"",""
"153",2,1,1,1,1,1,1,1,2,2,1993,168,20,1,4,"5",2,"Washington","20016",1,"1000000",""
"154",2,1,3,3,3,1,2,1.5,5,2,1993,132,18,3,6,"4",2,"Washington","20016",1,"100000",""
"155",2,1,4,6,5,7,6,6.5,4,2,1994,36,10,2,4,"0",2,"Washington DC","20016",1,"I don't know",""
"156",2,1,1,1,1,4,1,2.5,4,1,1994,95,20,1,4,"0",2,"fairfax, va","22003",1,"80,000",""
"157",2,1,2,4,3,2,2,2,4,2,1993,162,14,2,4,"0",2,"Chester","3036",1,"50,000",""
"158",2,0,1,1,1,1,5,3,4,1,1994,126,20,4,6,"2",2,"Malvern","19355",1,"",""
"159",2,0,1,1,1,1,4,2.5,4,2,1987,37,8,3,3,"2",2,"Mclean","22102",1,"400,000",""
"160",2,1,2,2,2,2,2,2,4,2,1994,187,20,6,5,"0",2,"Washington","20016",1,"40,000",""
"161",2,1,4,5,4.5,1,1,1,3,2,1993,187,21,2,6,"2",2,"Miami","33176",1,"600000",""
"162",2,1,1,1,1,1,7,4,4,2,1993,79,15,2,4,"0",2,"Monterey Park, Ca","91755",1,"33000",""
"163",2,1,1,1,1,1,1,1,2,1,1991,187,23,1,5,"0",2,"Washington, DC","20016",1,"200,000",""
"164",2,1,1,1,1,1,1,1,2,2,1995,36,19,2,4,"2",2,"Washington D.C.","20016",1,"190,000",""
"165",2,0,2,6,4,1,1,1,4,2,1994,36,2,2,4,"2",2,"Guangzhou","501623",1,"$1,000,000",""
"166",2,1,1,1,1,1,1,1,6,1,1994,78,0,5,6,"0",2,"Mumbai","Outside",1,"300,000",""
"167",2,1,1,1,1,1,7,4,4,1,1992,187,22,1,6,"3",2,"Washington, DC","20016",1,"250,000",""
"168",2,1,4,4,4,3,3,3,4,2,1995,187,19,1,6,"0",2,"Ipswich","1938",1,"90,000",""
"169",2,0,4,4,4,4,4,4,4,2,1996,187,18,1,6,"0",2,"Washington, DC","20016",1,"$65,000",""
"170",2,1,2,4,3,2,4,3,4,2,1993,86,10,2,5,"4",2,"Washington DC","20016",1,"6000000",""
"171",2,1,1,3,2,1,1,1,4,2,1996,187,19,4,4,"0",2,"Jersey City, NJ","7306",1,"$100,000",""
"172",2,0,1,1,1,1,1,1,6,2,1994,187,20,6,5,"3",2,"Abingdon","21009",1,"N/A",""
"173",2,0,1,1,1,1,1,1,1,2,1996,187,18,6,5,"0",2,"Los Angeles","91423",1,"55000",""
"174",2,1,4,4,4,4,4,4,4,1,1994,187,20,1,6,"3",2,"Washington","20016",1,"-",""
"175",2,0,1,2,1.5,2,2,2,3,1,1993,51,21,3,6,"0",2,"North Andover","1845",1,"$130,000",""
"176",2,1,3,3,3,2,4,3,4,2,1996,51,14,3,6,"0",2,"","Washing",1,"50,000",""
"177",2,1,2,2,2,2,6,4,5,2,1993,187,21,1,6,"0",2,"Washington. DC","20007",1,"Unknown (over 100",""
"178",2,1,1,1,1,1,1,1,4,1,20,187,20,3,4,"0",2,"Washington, DC","20007",1,"55000",""
"179",2,0,3,3,3,3,3,3,6,2,1993,40,21,3,5,"0",2,"Washington DC","20016",1,"?",""
"180",2,0,1,1,1,1,1,1,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",1,"",""
"181",2,1,3,4,3.5,4,4,4,6,2,1994,187,21,1,5,"0",2,"Mayfield, Ohio","44143",1,"150,000",""
"182",2,1,3,3,3,3,7,5,5,1,1994,187,20,1,4,"0",2,"washington","20016",1,"400000",""
"183",2,0,1,1,1,1,1,1,5,2,1995,187,20,1,6,"0",2,"New York City","10013",1,"$200,000",""
"184",2,1,3,1,2,1,1,1,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",1,"200000",""
"185",2,0,1,1,1,4,5,4.5,6,2,1994,187,20,5,6,"0",2,"Greenwich","6830",1,"500,000",""
"186",2,0,2,2,2,1,1,1,4,1,1994,187,20,1,4,"2",2,"Washington","20016",1,"150,000",""
"187",2,0,4,1,2.5,3,7,5,4,1,1995,116,15,1,4,"0",2,"Washington DC","20020",1,"36000",""
"188",2,1,7,7,7,1,1,1,2,2,1995,187,19,4,6,"0",2,"New York","10027",1,"$100,000",""
"189",2,0,2,2,2,2,4,3,2,2,1995,187,19,6,6,"0",2,"Atlanta","30319",1,"80,000",""
"190",2,1,2,1,1.5,2,4,3,3,2,1994,179,5,1,5,"0",2,"Washington DC","20016",1,"60",""
"191",2,0,3,1,2,2,7,4.5,3,2,1995,187,19,1,6,"0",2,"Narragansett","2882",1,"80,000",""
"192",2,0,1,1,1,1,1,1,2,2,1994,187,20,1,5,"0",2,"Washington DC","20016",1,"55,000",""
"193",2,0,1,1,1,1,1,1,6,2,1995,187,0,1,4,"3",2,"Alexandria","22309",1,"$90,000",""
"194",2,0,1,1,1,1,1,1,2,2,1994,179,10,1,5,"15",2,"Washington DC","20016",1,"",""
"195",2,0,2,3,2.5,1,1,1,4,1,1994,187,20,1,6,"0",2,"Washington D.C.","20016",1,"$800,000",""
"196",2,0,2,2,2,2,2,2,4,1,1991,65,10,1,5,"2",1,"Washington","20009",1,"100000",""
"197",2,0,2,2,2,2,4,3,2,2,1994,187,20,1,6,"2",2,"Washington DC","20016",1,"N/A",""
"198",2,0,1,1,1,1,1,1,4,2,1995,187,19,1,6,"2",2,"Washington","20016",1,"250,000",""
"199",2,0,3,2,2.5,2,6,4,4,1,1994,187,20,1,6,"1",2,"Doylestown","18901",1,"$400,000",""
"200",2,1,1,4,2.5,1,1,1,4,2,1993,36,4,2,4,"none",2,"Xi'an","710043",1,"400,000",""
"201",2,1,2,2,2,2,5,3.5,5,1,NA,0,0,2,5,"",NA,"","",1,"",""
"202",2,0,4,4,4,4,4,4,5,1,1985,187,29,3,4,"0",2,"washington","20016",1,"200,000",""
"203",2,0,3,3,3,3,2,2.5,4,1,1996,187,18,6,5,"0",2,"Gaithersburg","20878",1,"US $150,000+",""
"204",2,0,1,1,1,1,7,4,4,2,1994,187,20,1,5,"1",2,"Sewell","8080",1,"50,000",""
"205",2,0,1,2,1.5,1,1,1,1,2,1996,187,17,2,5,"0",2,"Washington DC","20016",1,"100,000",""
"206",2,1,1,3,2,1,1,1,4,1,1994,187,20,1,5,"2",2,"Washington DC","20016",1,"",""
"207",2,1,5,5,5,7,6,6.5,4,2,1994,187,20,4,3,"2",2,"Pawtucket","2860",1,"$110,000",""
"208",2,1,2,4,3,2,2,2,4,1,1994,187,8,2,5,"0",2,"Washington, DC","20016",1,"20,000 USD",""
"209",2,1,1,1,1,1,1,1,5,1,1994,187,20,1,4,"0",2,"Germantown","20874",1,"150000",""
"210",2,1,1,2,1.5,1,1,1,4,2,1994,187,20,4,4,"0",2,"Washington","20016",1,"150,000",""
"211",2,1,3,2,2.5,4,7,5.5,4,2,1995,187,20,1,6,"0",2,"Albany, NY","12303",1,"200,000",""
"212",2,0,3,4,3.5,2,3,2.5,5,1,1994,187,20,1,6,"a couple",2,"Columbus","47203",1,"i dont have that",""
"213",2,0,4,4,4,1,1,1,3,1,1995,187,20,6,6,"5",2,"Jersey City","7302",1,"$250,000",""
"214",2,1,2,4,3,1,1,1,4,2,1995,187,19,3,5,"0",2,"Washington","20016",1,"100,000",""
"215",2,1,1,1,1,1,1,1,1,1,1993,187,21,1,4,"0",2,"Andover","1810",1,"250000",""
"216",2,0,3,3,3,1,1,1,7,2,1993,187,21,1,4,"4",2,"Washington, D.C.","20016",1,"$120,000",""
"217",2,0,2,3,2.5,2,4,3,1,2,1992,185,22,1,5,"1",2,"West Chester","19380",2,"$900,000",""
"218",2,0,1,6,3.5,1,7,4,6,2,1993,187,21,1,5,"0",2,"Washington, DC","20016",1,"",""
"219",2,0,4,4,4,4,4,4,4,2,1996,187,18,6,6,"1",2,"Ann Arbor","48103",1,"n/a",""
"220",2,0,5,4,4.5,6,6,6,5,2,1995,86,14,2,5,"0",2,"Washington, D.C.","20016",1,"700000",""
"221",2,1,1,1,1,1,1,1,6,2,1994,187,20,4,3,"4",2,"Gurnee","60031",1,"5000",""
"222",2,1,1,2,1.5,2,7,4.5,4,1,1994,74,5,3,5,"0",2,"Washington DC","20016",1,"35000",""
"223",2,0,2,2,2,1,2,1.5,4,2,1995,192,8,2,5,"0",2,"Quy Nhon","82000",1,"",""
"224",2,1,1,1,1,1,7,4,2,2,1994,187,20,1,6,"0",2,"West Lafayette","47906",1,"$100,000",""
"225",2,0,1,1,1,1,1,1,3,2,1994,13,21,6,6,"0",2,"bethesda","20852",1,"300,000",""
"226",2,1,2,2,2,1,7,4,3,2,1992,187,22,1,6,"3",2,"washington","20016",1,"400,000",""
"227",2,0,1,1,1,1,1,1,4,2,21,187,21,1,4,"0",2,"Los Angeles, CA","90048",1,"",""
"228",2,1,1,1,1,1,3,2,4,NA,1993,24,6,1,5,"2",2,"Washington","20016",1,"",""
"229",2,1,1,1,1,3,4,3.5,6,1,1993,187,21,1,6,"0",2,"Providence","2906",1,"250,000",""
"230",2,1,6,6,6,4,7,5.5,2,2,1994,187,20,1,5,"6",1,"Cleveland, OH","44135",1,"100,000",""
"231",2,0,1,1,1,1,1,1,5,2,NA,0,0,6,0,"",NA,"","",NA,"",""
"232",2,1,1,1,1,1,1,1,2,2,1994,187,20,1,4,"0",2,"Mystic, CT","6355",1,"350,000.00$",""
"233",2,0,1,1,1,1,1,1,4,2,1993,187,21,4,5,"4",2,"washington, DC","20016",1,"155000",""
"234",2,1,1,1,1,1,1,1,4,1,1965,2,20,1,4,"0",2,"Silver Spring","20901",1,"100,000",""
