"","datacollection","companyevaluation","pg_condition","pg_good","pg_ethical","pg_responsibl","pg_honest","pg_innocent","pltclideo","gender","yearbirth","countrybir","engexp","ethnicity","parented","beforeres","beforethes","citytown","postalcode","honest_A","faminc","mturkhowm"
"18",1,2,1,3,3,2,1,3,6,1,1992,187,22,1,4,"0",2,"Blaine","55449",2,"125000",""
"19",1,3.33333333333333,4,4,4,4,4,4,1,2,1994,187,21,1,4,"0",2,"St. Paul","55104",1,"90,000",""
"20",1,2,4,3,3,2,2,2,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"21",1,2,4,2,2,4,2,2,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"22",1,2.5,1,3,3,3,3,3,4,1,1994,187,20,1,4,"0",2,"st. paul","55104",1,"250,000",""
"23",1,4.16666666666667,2,5,5,5,5,5,7,1,1994,78,20,5,6,"1",2,"Ramsey","55303",2,"75,000",""
"24",1,3,4,4,5,4,4,1,4,1,1993,187,20,1,4,"2",2,"Hutchinson","55350",1,"90,000",""
"25",1,3.66666666666667,4,4,5,4,5,4,4,2,1995,187,19,1,6,"1",2,"St. Paul","55105",1,"200000",""
"26",1,0.833333333333333,4,1,1,1,1,1,4,2,1993,187,21,2,1,"0",2,"North Minnapolis","55411",1,"$24000",""
"27",1,1.66666666666667,2,2,2,4,1,1,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"28",1,1.66666666666667,1,2,2,1,4,1,2,2,1993,187,22,1,4,"1",2,"Plymouth","55447",1,"200000",""
"29",1,7.16666666666667,3,9,8,9,9,8,4,2,1994,187,20,1,6,"0",2,"Woodbury","55125",1,"100,000",""
"30",1,6.33333333333333,3,7,7,8,8,8,1,2,1994,187,21,4,5,"0",2,"St. Paul","55119",1,"",""
"31",1,2.66666666666667,4,4,3,3,3,3,5,1,1993,187,22,1,4,"0",2,"St. Paul","55104",2,"90,000",""
"32",1,4.83333333333333,2,7,6,5,6,5,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",2,"30000",""
"33",1,4.66666666666667,3,7,7,5,5,4,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"34",1,4,2,5,5,4,5,5,4,2,1993,187,21,1,4,"0",2,"Kenosha","53144",1,"120,000",""
"35",1,3.16666666666667,1,4,4,4,3,4,2,2,1994,187,20,2,6,"0",2,"St. Paul","55105",1,"70000",""
"36",1,1.66666666666667,2,3,2,1,3,1,5,1,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"60000",""
"37",1,5,2,7,8,9,3,3,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"38",1,2.83333333333333,1,3,3,4,4,3,4,1,1995,187,19,1,5,"0",2,"St. Paul","55105",1,"200000",""
"39",1,3.5,2,5,4,4,4,4,3,1,1993,187,21,3,4,"1",2,"Edina","55436",1,"170,000",""
"40",1,5,3,4,6,8,6,6,5,1,1994,187,21,1,4,"1",2,"Stillwater","55082",1,"$120,000",""
"41",1,2.66666666666667,4,3,2,2,4,5,4,2,1993,187,21,1,4,"0",2,"Minneapolis","55413",1,"20000",""
"42",1,5.33333333333333,2,6,6,6,7,7,6,1,1995,187,20,1,3,"0",2,"Zumbrota","55992",2,"45,000",""
"43",1,3.66666666666667,4,5,5,4,4,4,4,1,1992,126,22,4,4,"0",2,"Woodbury","55125",1,"150000",""
"44",1,7.5,3,9,9,9,9,9,1,2,1985,187,29,1,6,"2",1,"Saint Paul","55105",1,"148000",""
"45",1,3.5,1,5,4,4,4,4,6,1,1994,187,20,1,3,"3",2,"Forest Lake","55025",1,"100000",""
"46",1,4,3,6,4,4,5,5,3,2,1995,187,19,1,4,"0",2,"St. Paul","55113",1,"$65,000",""
"47",1,4.33333333333333,1,4,6,4,9,3,5,2,1994,187,20,1,6,"0",2,"St. Paul","55104",1,"$185,000",""
"48",1,6.83333333333333,2,9,9,9,9,5,4,2,1994,187,20,1,6,"0",2,"St. Paul","55105",1,"100000",""
"49",1,4.66666666666667,1,5,5,5,8,5,6,1,1995,187,19,1,6,"10",2,"St. Paul","55105",1,"400000",""
"50",1,6.5,2,7,7,9,9,7,6,1,1994,187,21,1,NA,"0",2,"St. Paul","55105",1,"$100,000",""
"51",1,6.66666666666667,2,6,9,9,9,7,5,1,1992,187,22,1,4,"0",2,"St. Paul","",1,"",""
"52",1,5.83333333333333,2,5,7,9,9,5,5,2,1993,128,13,1,5,"0",2,"Saint Paul","55105",2,"150000",""
"53",1,7.5,3,9,9,9,9,9,5,2,1995,187,19,1,6,"1",2,"Saint Paul MN","55104",1,"350,000",""
"54",1,6.66666666666667,2,7,8,8,9,8,6,2,1994,187,20,1,4,"0",2,"Hudson","54016",1,"100,000",""
"55",1,4.5,3,6,6,6,4,5,6,1,1994,187,20,1,5,"0",2,"De Pere","54115",1,"200000",""
"56",1,3.66666666666667,3,7,7,4,2,2,4,2,1995,187,19,1,6,"0",2,"St. Paul","55106",1,"600,000",""
"57",1,7.5,1,9,9,9,9,9,7,1,1995,187,20,3,6,"0",2,"Woodbury","55129",1,"180,000",""
"58",1,4,2,4,3,6,6,5,5,1,1993,187,21,1,6,"0",2,"Wayzata","55446",1,"300000",""
"59",1,0.833333333333333,4,1,1,1,1,1,6,2,1995,187,20,1,6,"1",2,"St. Paul","55116",1,"250000",""
"60",1,1,1,2,1,1,1,1,4,2,1993,187,21,1,4,"0",2,"St. Paul","55015",1,"160,000",""
"61",1,7.5,2,9,9,9,9,9,4,1,1990,187,22,1,6,"0",2,"st. paul","55105",1,"120,000",""
"62",1,3,1,4,3,4,2,5,6,1,1993,187,22,1,4,"0",2,"st. paul","55104",1,"x",""
"63",1,2.5,1,3,4,4,2,2,4,2,1994,187,21,1,5,"1",2,"Bloomington","55438",1,"?",""
"64",1,5.16666666666667,2,7,7,6,6,5,5,1,1994,187,20,1,5,"2",2,"St. Paul","55104",1,"150000",""
"65",1,2.33333333333333,1,3,3,2,3,3,4,2,1992,192,15,2,3,"0",2,"burnsville","55337",1,"",""
"66",1,6.16666666666667,3,9,9,6,6,7,4,1,1993,185,21,2,3,"1",2,"Eden Prairie","55347",1,"3,100,000.00",""
"67",1,2.5,4,4,3,3,3,2,4,2,1991,187,23,1,5,"",2,"St. Paul","55401",1,"I don't know",""
"68",1,3.16666666666667,4,4,4,3,4,4,4,1,1993,187,0,1,4,"0",2,"Saint Paul, MN","55105",1,"100000",""
"69",1,4.5,4,6,4,8,5,4,4,1,1992,187,22,1,4,"0",2,"Lakeland","55043",1,"150,000",""
"70",1,1.83333333333333,1,3,2,2,2,2,6,1,1993,187,21,1,5,"2",2,"St. Paul","55116",1,"200,000",""
"71",1,7.5,3,9,9,9,9,9,3,1,1993,97,22,4,4,"3",2,"St. Paul","55105",1,"$60,000",""
"72",1,7.5,3,9,9,9,9,9,4,1,1994,187,20,1,6,"0",2,"Apple Valley","55124",1,"90000",""
"73",1,1.5,1,4,1,1,1,2,2,2,1993,187,21,1,5,"0",2,"St. Paul","55105",2,"130,000",""
"74",1,4.16666666666667,2,5,5,1,9,5,6,1,1990,187,24,1,5,"1",2,"Hanover","55341",1,">100000",""
"75",1,2.83333333333333,2,5,4,4,3,1,4,2,1994,187,15,3,3,"0",2,"Marshfield","54449",2,"350,000",""
"76",1,6.66666666666667,3,9,8,8,6,9,6,2,1992,187,22,1,4,"0",2,"St. Paul","55105",1,"$700,000",""
"77",1,6.16666666666667,2,6,8,9,8,6,5,2,1993,187,21,1,5,"0",2,"Dubuque","52003",1,"$500,000",""
"78",1,7.5,2,9,9,9,9,9,6,2,1995,187,19,1,5,"0",2,"St. Paul","55104",1,"$1,000,000",""
"79",1,5.16666666666667,2,7,7,5,6,6,6,2,1994,187,20,1,5,"0",2,"eagan","55122",1,"200,000+",""
"80",1,7.5,3,9,9,9,9,9,2,2,1993,187,21,1,5,"1",2,"Lakeville","55044",1,"325,000",""
"81",1,1.16666666666667,4,1,3,1,1,1,2,1,1993,187,21,1,4,"0",2,"Roseville","55113",1,"75000",""
"82",1,3.5,3,5,4,3,3,6,4,1,1993,187,21,1,4,"0",2,"St Paul","55102",1,"",""
"83",1,6.83333333333333,3,7,8,9,9,8,5,2,1994,187,20,1,NA,"1",1,"Andover","55304",1,"$250000",""
"84",1,1.83333333333333,1,3,2,2,2,2,5,1,1991,187,24,1,6,"0",2,"Saint Paul","55104",2,"N/A",""
"85",1,5.33333333333333,3,7,7,7,6,5,3,2,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"$1000000",""
"86",1,5.66666666666667,2,7,7,8,7,5,3,2,1994,187,20,1,6,"1",2,"Apple Valley","55124",1,"$180,000",""
"87",1,2.5,4,4,2,4,3,2,3,2,1993,187,21,3,4,"0",2,"Inver Grove Heights","55077",1,"32000",""
"88",1,2.16666666666667,3,3,4,3,2,1,2,1,1995,187,19,1,4,"0",2,"Eden Prairie","55347",1,"250000",""
"89",1,3.16666666666667,1,3,4,3,3,6,4,1,1986,187,28,4,3,"2",2,"Minneapolis","55411",1,"30000",""
"90",1,5,3,6,6,6,6,6,6,2,1994,189,21,4,6,"2",2,"Saint Paul","55105",1,"70,000",""
"91",1,3.33333333333333,2,4,4,4,3,5,4,2,1994,187,20,2,4,"5",2,"Crystal","55422",1,"70000",""
"92",1,2.16666666666667,2,3,3,3,2,2,4,2,1995,187,19,1,5,"0",2,"Saint Paul","55105",1,"?",""
"93",1,5.83333333333333,3,6,7,7,8,7,4,1,1993,187,21,1,5,"0",2,"Glenview, IL","60026",1,"",""
"94",1,2.16666666666667,1,2,2,4,3,2,3,2,1986,187,28,1,4,"1",2,"Maple Grove","55311",1,"175,000",""
"95",1,2.5,4,5,3,3,2,2,4,1,1994,187,21,1,4,"0",2,"Minneapolis","55417",1,"120,000",""
"96",1,5,2,6,6,6,7,5,4,2,1993,36,15,2,5,"0",2,"Saint Paul","55105",1,"50000",""
"97",1,2.16666666666667,1,8,2,1,1,1,6,2,1993,187,21,1,6,"1",2,"St.Paul","55105",1,"NA",""
"98",1,3.83333333333333,1,5,5,4,5,4,7,1,1995,188,19,1,4,"0",2,"Eagan","55123",1,"130000",""
"99",1,7.5,3,9,9,9,9,9,5,2,1994,187,20,6,6,"2",2,"Prior Lake","55372",1,"50,000",""
"100",1,3,4,4,3,2,7,2,6,2,1993,187,21,1,5,"0",2,"White Bear Lake","55110",1,"180,000",""
"101",1,4.16666666666667,2,7,4,4,5,5,5,2,1992,187,22,0,6,"0",2,"Saint Paul","55104",1,"80000",""
"102",1,6.16666666666667,3,9,7,7,6,8,6,1,1994,187,21,1,6,"0",2,"Saint Paul","55125",1,"130000",""
"103",1,2.16666666666667,4,3,3,2,3,2,2,2,1994,187,21,1,4,"0",2,"Ellendale","56026",1,"60,000",""
"104",1,4.5,4,7,7,2,6,5,6,2,1995,187,20,1,5,"0",2,"St. Paul","55105",1,"100,000",""
"105",1,2.5,1,3,3,3,3,3,4,2,1993,187,21,2,6,"0 Marketing",2,"Minnetonka","55343",1,"200000",""
"106",1,3.16666666666667,1,6,4,3,3,3,6,1,1990,187,24,1,4,"1",2,"St. Paul","55104",1,"110000",""
"107",1,4.16666666666667,2,5,5,5,5,5,4,2,1993,128,10,1,6,"0",2,"St. Paul","55117",1,"150000",""
"108",1,2.83333333333333,3,6,6,2,2,1,7,1,1987,187,28,2,5,"0",2,"Rogers","55374",1,"36000",""
"109",1,2.33333333333333,4,5,4,1,2,2,5,1,1995,187,19,1,5,"0",2,"Saint Paul","55104",1,"250,000",""
"110",1,4.16666666666667,1,5,5,5,5,5,4,1,1988,187,24,1,4,"1",2,"Little Canada","55117",1,"",""
"111",1,2.16666666666667,1,2,2,2,3,4,6,2,1993,187,22,1,5,"1",2,"St. Paul","55105",1,"$175,000",""
"112",1,1.83333333333333,4,3,3,3,1,1,7,1,1994,187,21,1,4,"0",2,"Coon Rapids","55448",1,"40000",""
"113",1,6.33333333333333,4,7,8,8,8,7,4,2,1995,187,19,1,4,"0",2,"Hutchinson","55350",1,"US $175,000",""
"114",1,5.66666666666667,3,7,6,8,6,7,5,1,1995,187,19,1,6,"0",2,"Waconia","55387",2,"$300,000",""
"115",1,2,4,3,2,3,3,1,5,2,1995,187,19,1,4,"0",2,"St. Paul","55105",1,"700000",""
"116",1,5,2,6,6,6,6,6,5,2,1992,187,22,1,5,"1",2,"St. Paul","55105",1,"120000",""
"117",1,2,4,3,3,2,2,2,7,1,1992,187,22,1,6,"2",2,"St. Paul","55105",1,"500000",""
"118",1,5,3,7,6,6,6,5,4,2,1993,187,21,2,4,"0",2,"Lakeville","55044",1,"$70,000",""
"119",1,4.5,4,6,7,2,7,5,7,2,1995,187,19,1,5,"1",1,"West Saint Paul","55118",2,"70,000",""
"120",1,1.83333333333333,1,3,2,2,2,2,4,2,1993,187,21,1,4,"1",2,"Elmhurst","60126",1,"",""
"121",1,2.33333333333333,4,5,3,1,4,1,4,2,1994,187,20,1,5,"0",2,"St. Paul","55104",1,"100000",""
"122",1,1.5,1,2,2,2,1,2,6,2,1994,187,20,1,4,"0",2,"Hampton","55031",1,"60000",""
"123",1,3.83333333333333,1,5,5,4,5,4,4,1,1994,187,21,1,4,"1",2,"Sait Paul","55105",1,"285,000+",""
"124",1,6,3,6,7,7,8,8,2,2,1996,187,18,1,5,"1",1,"Saint Paul, Minnesota","55015",2,"$70,000",""
"125",1,0.833333333333333,1,1,1,1,1,1,5,1,1994,187,20,1,5,"1",1,"Woodbury","55129",1,"100,000",""
"126",1,1,1,2,1,1,1,1,6,1,1993,187,21,1,5,"10",2,"Mendota Heights","55120",1,"275,000",""
"127",2,4.16666666666667,1,5,5,5,5,5,5,1,1984,187,29,3,4,"1",2,"washington","20016",0,"My family's yearl",""
"128",2,7.5,2,9,9,9,9,9,6,1,1994,36,16,2,6,"",2,"","",2,"200,000",""
"129",2,2,1,4,3,1,3,1,7,2,1993,187,21,1,4,"7",1,"Washington, DC","20016",1,"",""
"130",2,6.16666666666667,3,7,7,8,8,7,4,2,1995,187,19,1,5,"0",2,"Sag Harbor","11963",1,"190,000",""
"131",2,1.16666666666667,2,1,2,1,2,1,4,2,1993,36,4,2,4,"none",2,"Xi'an","710043",1,"140000",""
"132",2,2,4,2,3,3,3,1,2,2,1995,187,19,1,6,"0",2,"SAN JOSE","95129",1,"400,000",""
"133",2,2.16666666666667,1,3,2,2,4,2,1,2,1996,187,18,1,6,"0",2,"Washington DC","20016",1,"",""
"134",2,6.66666666666667,3,7,7,9,9,8,2,1,1996,187,18,3,6,"0",2,"Arlington","22204",1,"$100,000",""
"135",2,6,2,6,7,7,7,9,4,1,1992,187,22,1,6,"3",2,"Washington, DC","20016",1,"$130,000",""
"136",2,0.833333333333333,1,1,1,1,1,1,4,2,1994,187,20,1,5,"1",2,"Sewell","8080",1,"$110,000",""
"137",2,2.33333333333333,4,5,5,2,1,1,4,2,1996,187,18,1,6,"0",2,"Washington, DC","20016",1,"50,000",""
"138",2,2.83333333333333,3,3,4,2,4,4,1,2,1996,187,18,6,5,"0",2,"Los Angeles","91423",1,"N/A",""
"139",2,6.33333333333333,3,7,7,8,8,8,4,2,1996,187,19,4,4,"0",2,"Jersey City, NJ","7306",1,"150000",""
"140",2,3.66666666666667,1,5,4,4,4,5,4,2,1994,187,20,4,4,"0",2,"Washington","20016",1,"1000000",""
"141",2,2.83333333333333,1,3,3,3,4,4,4,2,1995,86,2,2,5,"2",2,"Washington","20016",1,"150,000",""
"142",2,1.16666666666667,1,1,2,2,1,1,4,2,1995,187,20,1,6,"0",2,"Albany, NY","12303",1,"30,000",""
"143",2,5.5,2,7,7,6,6,7,4,2,1996,51,14,3,6,"0",2,"Washington DC","20016",1,"Not told.",""
"144",2,4.16666666666667,3,5,5,5,5,5,4,1,1994,187,20,1,6,"3",2,"Washington","20016",1,"50,000",""
"145",2,2.33333333333333,4,4,3,2,4,1,4,1,1996,187,19,4,5,"1",2,"Germantown","20841",1,"-",""
"146",2,4.16666666666667,1,5,5,5,5,5,4,2,93,187,21,4,5,"2",2,"Washington DC","20016",1,"",""
"147",2,4.16666666666667,2,6,4,4,5,6,3,1,1993,51,21,3,6,"0",2,"North Andover","1845",1,"48,000",""
"148",2,2.66666666666667,4,4,3,4,1,4,4,1,20,187,20,3,4,"0",2,"Washington, DC","20007",1,"",""
"149",2,5.33333333333333,3,6,6,7,6,7,3,1,1992,187,22,1,6,"0",2,"Washington","20016",1,"$250,000",""
"150",2,3,2,5,3,2,5,3,1,1,1993,187,21,1,4,"0",2,"Andover","1810",1,"400,000",""
"151",2,6.83333333333333,2,9,9,9,9,5,4,2,1995,187,19,3,5,"0",2,"washington","20016",1,"IDK",""
"152",2,6.33333333333333,2,6,7,9,9,7,3,2,1994,187,20,1,4,"3",2,"Denville","7834",1,"400000",""
"153",2,6.5,3,8,7,8,8,8,6,2,1994,187,21,1,5,"0",2,"Mayfield,Ohio","44143",1,"260,000",""
"154",2,0.833333333333333,1,1,1,1,1,1,1,2,1992,185,22,1,5,"1",2,"West Chester","19380",1,"n/a",""
"155",2,5.66666666666667,2,7,7,7,8,5,4,2,1994,136,18,2,5,"2",1,"North Bethesda","20852",1,"300,000",""
"156",2,4.5,2,7,5,5,5,5,5,2,1995,187,20,1,6,"0",2,"New York City","10013",1,"120000",""
"157",2,0.833333333333333,4,1,1,1,1,1,5,2,1994,187,20,5,6,"0",2,"Greenwich","6830",1,"$200,000",""
"158",2,3.33333333333333,4,6,7,3,3,1,4,2,1994,137,3,1,4,"0",2,"Sejny","16500",1,"500,000",""
"159",2,2.33333333333333,4,3,3,4,3,1,4,2,1994,86,5,2,4,"0",2,"Washington","20016",1,"",""
"160",2,2.5,1,3,3,3,3,3,6,2,1994,187,20,4,3,"4",2,"Gurnee","60031",1,"200000",""
"161",2,6.33333333333333,2,8,7,8,8,7,4,1,1994,187,20,1,4,"2",2,"Washington","20016",1,"700000",""
"162",2,4.83333333333333,3,7,6,6,7,3,4,1,1994,74,5,3,5,"0",2,"Washington DC","20016",1,"60,000",""
"163",2,5.83333333333333,2,7,7,7,7,7,4,1,1995,116,15,1,4,"0",2,"Washington DC","20020",1,"300,000",""
"164",2,5.16666666666667,2,7,7,5,7,5,6,1,1993,187,21,1,6,"2",2,"Boston","2458",1,"$36000",""
"165",2,2.66666666666667,4,3,4,3,3,3,3,2,1995,187,19,1,6,"0",2,"Narragansett","2882",1,"$100,000",""
"166",2,2.66666666666667,1,4,3,3,3,3,2,2,1994,187,20,1,4,"0",2,"Washington DC","20016",1,"",""
"167",2,4.33333333333333,2,6,4,6,5,5,5,2,1993,132,18,3,6,"3",2,"Washington","20016",1,"I don't know",""
"168",2,3.66666666666667,4,4,5,6,3,4,5,2,1995,187,20,1,4,"3",2,"Alexandria","22309",1,"100000",""
"169",2,2.16666666666667,3,3,3,2,3,2,4,2,1993,162,14,2,4,"0",2,"Chester","3036",1,"1000000",""
"170",2,2.5,1,3,3,3,3,3,3,2,1992,187,22,1,6,"2",2,"washington","20016",1,"",""
"171",2,0.833333333333333,1,1,1,1,1,1,4,1,1994,126,20,4,6,"2",2,"Malvern","19355",1,"400,000",""
"172",2,1.83333333333333,4,2,2,2,3,2,5,2,1996,187,18,6,6,"0",2,"Washington","20016",1,"",""
"173",2,2.16666666666667,1,3,3,3,3,1,4,2,1993,24,6,1,5,"2",2,"Washington","20016",1,"100,000",""
"174",2,2.66666666666667,1,4,3,3,3,3,6,1,1993,187,21,1,6,"0",2,"Providence","2906",1,"100000",""
"175",2,4.83333333333333,2,3,5,9,7,5,4,2,1993,79,15,2,4,"0",2,"Monterey Park, Ca","91755",1,"$400,000",""
"176",2,4.5,2,5,5,5,7,5,2,2,1994,187,20,1,6,"2",2,"Washington DC","20016",1,"33000",""
"177",2,6.33333333333333,2,8,7,8,8,7,4,2,1995,187,19,1,6,"2",2,"washington","20016",1,"N/A",""
"178",2,4.5,4,5,4,3,7,8,2,1,1991,187,23,1,5,"0",2,"Washington, DC","20016",1,"250,000",""
"179",2,2.16666666666667,3,3,3,2,3,2,2,2,1994,187,20,1,4,"0",2,"Mystic, CT","6355",1,"200,000",""
"180",2,6.5,3,7,8,8,8,8,3,2,1993,187,21,2,6,"2",2,"Miami","33176",1,"155000",""
"181",2,5.16666666666667,4,7,5,5,8,6,6,1,1994,78,0,5,6,"0",2,"Mumbai","Outside t",1,"300,000",""
"182",2,6.16666666666667,3,6,7,8,9,7,4,2,1994,36,2,2,4,"2",2,"Guangzhou","510623",1,"300,000",""
"183",2,6.66666666666667,3,8,8,8,8,8,2,2,1995,36,29,2,4,"2",2,"Washington D.C.","20016",1,"$1,000,000",""
"184",2,1.66666666666667,4,2,2,2,2,2,5,2,1995,61,9,1,6,"0",2,"dc","20016",1,"",""
"185",2,4.33333333333333,2,4,4,7,6,5,4,1,1996,187,18,6,5,"0",2,"Gaithersburg","20878",1,"300000",""
"186",2,2,1,3,3,1,3,2,1,2,1996,187,17,2,5,"0",2,"Washington, DC","20016",1,"US $150,000",""
"187",2,4.83333333333333,2,6,6,7,5,5,4,1,1994,187,20,1,5,"2",2,"Washington DC","20016",1,"100,000",""
"188",2,7.16666666666667,3,7,9,9,9,9,4,2,1994,187,20,4,3,"2",2,"Pawtucket","2860",1,"$250,000",""
"189",2,5.5,2,5,5,9,9,5,4,2,1995,187,19,1,6,"0",2,"Ipswich","1938",1,"$70,000",""
"190",2,2.83333333333333,4,3,4,3,3,4,4,2,1993,86,10,2,5,"4",2,"Washington DC","20016",1,"I dont know",""
"191",2,4.16666666666667,1,5,5,5,4,6,4,2,1996,187,18,6,4,"0",2,"Kailua","96734",1,"600000",""
"192",2,2,4,4,2,1,3,2,4,1,1994,187,8,2,5,"0",2,"Washington, DC","20016",1,"100,000",""
"193",2,1.66666666666667,4,1,3,2,3,1,6,2,1994,187,20,6,4,"3",2,"Abingdon","21009",1,"20,000 USD",""
"194",2,2.33333333333333,2,4,3,2,2,3,6,2,1996,187,18,6,6,"0",2,"Boston, MA","1760",1,"60000",""
"195",2,5.5,2,7,7,7,7,5,5,1,1994,187,20,1,4,"0",2,"Germantown Maryland","20874",1,"500",""
"196",2,1.33333333333333,1,2,1,1,2,2,6,1,1994,21,20,3,6,"2",2,"Washington DC","20016",1,"$100,000",""
"197",2,0.833333333333333,4,1,1,1,1,1,4,2,1991,10,3,1,3,"3",1,"Washington DC","20016",2,"80000",""
"198",2,7.16666666666667,3,9,8,8,9,9,5,2,1993,187,21,1,6,"0",2,"Washington. DC","20007",1,"200,000",""
"199",2,7.33333333333333,3,8,9,9,9,9,4,2,1995,36,19,2,5,"2",2,"Washington","20016",1,"$130,000",""
"200",2,6.83333333333333,4,9,9,6,9,8,7,2,1993,187,21,1,4,"4",2,"Washington, DC","20016",1,"55000",""
"201",2,2.5,1,3,2,1,5,4,3,1,1995,187,1995,6,6,"5",2,"Jersey City","7302",1,"$120,000",""
"202",2,4.83333333333333,2,6,6,6,6,5,5,1,1981,196,25,2,6,"3",2,"Washington, DC","20018",1,"250000",""
"203",2,6.16666666666667,3,7,7,7,7,9,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",1,"75000",""
"204",2,2,4,3,3,2,3,1,6,1,1994,187,20,1,6,"a couple",2,"Columbus","47203",1,"",""
"205",2,1.66666666666667,1,2,2,2,2,2,6,2,1993,40,20,3,5,"0",2,"Washington DC","20016",1,"100,000",""
"206",2,2,4,3,2,3,2,2,5,1,1994,187,20,1,4,"0",2,"Washington","20016",1,"?",""
"207",2,1.33333333333333,1,1,3,2,1,1,6,2,1993,187,21,1,5,"0",2,"Washington, DC","20016",1,"150,000",""
"208",2,5.16666666666667,3,6,4,7,7,7,4,1,1994,74,18,3,4,"0",2,"Washigton DC","20016",1,"",""
"209",2,6.33333333333333,3,7,7,8,8,8,4,2,1996,187,18,6,6,"1",2,"Ann Arbor","48103",1,"800000",""
"210",2,0.833333333333333,1,1,1,1,1,1,2,2,1994,187,20,1,6,"5",2,"Westchester NY","10579",1,"900,000",""
"211",2,3.83333333333333,4,4,6,3,6,4,4,2,1995,192,8,2,5,"0",2,"Quy Nhon","82000",1,"15000",""
"212",2,5.33333333333333,3,7,7,3,8,7,2,2,1995,187,19,1,4,"0",2,"Washington, DC","20016",2,"$500000",""
"213",2,0.833333333333333,4,1,1,1,1,1,5,2,1995,86,14,2,5,"0",2,"Washington D.C","20016",2,"5000",""
"214",2,5.66666666666667,3,6,6,8,7,7,2,2,20,187,20,3,4,"0",2,"Washington, DC","20016",1,"$150,000",""
"215",2,4,2,5,4,3,7,5,2,2,1995,187,19,6,6,"0",2,"Atlanta","30319",1,"35000",""
"216",2,1.83333333333333,1,4,2,2,2,1,3,2,1994,13,21,6,6,"0",2,"Bethesda","20852",1,"$40,000",""
"217",2,5,3,7,6,4,7,6,3,2,1994,179,5,1,5,"0",2,"Washington DC","20016",1,"?",""
"218",2,4.66666666666667,3,5,5,5,6,7,2,2,1994,187,20,1,6,"0",2,"West Lafayette","47906",1,"60",""
"219",2,0.833333333333333,4,1,1,1,1,1,2,2,1995,186,19,4,6,"0",2,"New York","10027",1,"$100,000",""
"220",2,1.16666666666667,1,1,2,1,2,1,NA,1,1992,151,4,NA,5,"",2,"","",1,"80,000",""
"221",2,5.33333333333333,3,6,5,8,7,6,4,2,1994,36,10,2,4,"0",2,"Washington DC","20016",1,"55,000",""
