"","datacollection","standard_condition","standard_org","standard_perk","mreselfish","moreresp","moreupstan","orgbintere","investdonate","respleader","hirepres","mreselfish_re","standard_evalu_4items","standard_evalu_5items","standard_evalu_7items","standard_organization","standard_compensation","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"70",1,1,0,1,2,5,6,6,6,6,7,6,5.75,5.8,6,0,1,6,1,1194,187,21,1,6,"0",2,"Saint Paul","55105",1,"130000",""
"71",1,4,1,1,3,7,6,7,7,6,7,5,6.25,6.4,6.42857142857143,1,1,7,1,1987,187,28,2,5,"0",2,"Rogers","55374",1,"36000",""
"72",1,4,1,1,4,4,4,4,7,4,1,4,4,4.6,4,1,1,6,1,1994,187,20,1,3,"3",2,"Forest Lake","55025",1,"100000",""
"73",1,5,1,2,6,2,2,6,2,4,1,2,3,2.8,2.71428571428571,1,2,4,1,1994,162,20,2,6,"0",2,"Saint Paul, Minnesota","55105",1,"400,000",""
"74",1,1,0,1,3,4,5,4,4,5,3,5,4.5,4.4,4.28571428571429,0,1,4,1,1988,187,24,1,0,"0",2,"Little Canada","55117",1,"",""
"75",1,6,1,3,7,1,1,7,1,5,1,1,2.5,2.2,2.42857142857143,1,3,6,NA,1994,187,21,1,4,"0",2,"St. Paul","55105",1,"$100,000",""
"76",1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,5,2,1992,187,22,1,5,"1",2,"St. Paul","55105",1,"120000",""
"77",1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,5,1,1992,187,22,1,6,"0",2,"St.Paul","",1,"",""
"78",1,6,1,3,7,2,1,1,1,1,1,1,1.25,1.2,1.14285714285714,1,3,5,2,1993,128,0,1,5,"0",2,"Saint Paul","55105",2,"150000",""
"79",1,5,1,2,5,2,3,2,2,2,2,3,2.5,2.4,2.28571428571429,1,2,7,1,1992,186,22,1,6,"2",2,"St. Paul","55105",1,"500000",""
"80",1,6,1,3,5,4,4,4,4,7,4,3,3.75,3.8,4.28571428571429,1,3,7,1,1995,187,20,3,6,"0",2,"Woodbury","55129",1,"180,000",""
"81",1,4,1,1,4,4,4,4,4,4,5,4,4,4,4.14285714285714,1,1,2,2,1996,187,18,1,5,"1",1,"Saint Paul, Minnesota","55015",1,"$70,000",""
"82",1,1,0,1,5,4,3,2,3,3,3,3,3,3,3,0,1,4,2,1993,187,21,1,4,"0",2,"St. Paul","5501",1,"160,000",""
"83",1,4,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1992,187,22,1,6,"0",2,"st. paul","55105",1,"120,000",""
"84",1,6,1,3,5,3,3,3,3,3,3,3,3,3,3,1,3,6,2,1992,187,22,1,5,"5",2,"shorewood","55331",1,"$300,000",""
"85",1,2,0,2,5,3,3,3,4,3,3,3,3,3.2,3.14285714285714,0,2,4,2,1991,187,23,1,5,"",2,"St. Paul","55401",1,"I don't know",""
"86",1,1,0,1,5,3,4,4,3,4,4,3,3.5,3.4,3.57142857142857,0,1,4,1,1993,187,21,1,4,"0",2,"Saint Paul, MN","55105",1,"100000",""
"87",1,5,1,2,5,4,2,4,2,2,2,3,3.25,3,2.71428571428571,1,2,4,2,1994,187,20,1,6,"0",2,"Eden Prairie","55346",1,"175,000",""
"88",1,3,0,3,7,1,1,1,1,1,1,1,1,1,1,0,3,3,1,1993,97,22,4,4,"3",2,"St. Paul","55105",2,"$60,000",""
"89",1,3,0,3,4,4,4,4,1,4,2,4,4,3.4,3.28571428571429,0,3,5,1,1964,187,50,1,5,"0",2,"roseville","55113",1,"200000",""
"90",1,1,0,1,3,4,4,6,6,5,5,5,4.75,5,5,0,1,4,1,1993,187,21,1,6,"0",2,"Brewster, MA","2631",1,"$500,000",""
