"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"105",1,"31",10,1,1,"24",0.239260109311509,-1.15626418006387,0.239771639319435,0.272293291339218,-0.974681539014762,-0.797627732872684,-1.02293576737289,0.209185514565649,0.0567844475718996,0.0635862732568322,0.510179883065636,-0.199518486639055,-0.0371428169810446
"106",0,"91",10,0,1,"18",0.009156043289295,0.032305963329558,0.594334800012763,0.32146725597205,-0.534364878845813,-0.217172435066562,0.106613775913144,0.251022617478779,0.122771730663727,0.141270698280632,0.475348324784046,-0.110079165042237,0.0524369180908864
"107",1,"113",10,1,1,"49",0.804060998638762,-0.561979108367155,NA,-0.0227504964577765,0.621466354097679,0.277015971791422,-0.519926812152639,0,0,0,0,0,0
"108",1,"95",11,1,1,"22",-1.72708372760559,-0.771726780730701,-0.508750588810925,-0.137489747267719,-0.314206548761338,-0.432362525012941,-0.739754528860746,-1.15052033011107,0.898855348047338,0.449580461513968,0.224014727771792,1.08244512291533,0.431147993191733
"109",0,"127",11,0,1,"58",1.18059492485693,1.15096021593514,0.121583919088325,0.632902365313322,-0.314206548761338,0.303306713395259,1.22095783932643,0.418371029131298,-0.29614292679258,0.259315870615048,0.262261144708439,-0.678821517760464,0.221400320828187
"110",1,"43",12,1,1,"64",-0.283703677102614,0.53919617154146,-0.94210556299166,-2.57979665736506,-0.974681539014762,-1.51168274521116,0.0236373613091395,-0.583104621851747,-0.589828811322392,-0.337419337119092,-0.936354243216849,-0.288957808235873,-0.16605024062114
"111",1,"126",12,1,1,"32",0.302015763681204,-0.159962736337026,0.436751173037951,0.698467651490432,-0.809562791451406,-0.297077735843324,-0.0017183268075959,-0.251022617478779,-0.168272207286901,0.269241559795911,0.114739250809942,-0.41279686890839,0.262184590454432
"112",0,"19",3,0,1,"19",0.322934315137769,-0.911558562306398,-0.666334215785738,-0.00635917491349901,1.77729758704117,0.966156627742864,-0.846184954972731,0.109822395146966,0.556896534820984,-0.00110881554277675,0.0368804734746242,0.82559373781678,-0.0087394863484811
"113",1,"39",3,1,1,"27",-1.03677152953895,-1.17374315276083,-1.29666872368499,-0.58005542896321,-1.35995861666259,-1.38470769671087,-1.2041158921962,-0.531331206996749,-0.735921286052852,-0.667211081901822,-0.537635346652301,-0.594427491228081,-0.597780866236105
"114",0,"1",9,0,1,"25",0.197423006398379,-0.212399654427912,0.55493889326906,1.17381597627448,0.676505936618798,0.854786112437215,0.0407246852974281,-0.115052033011107,0.265763422768342,0.313587735946681,0.0245869823164162,0.275197912605593,0.32773073806804
