"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","vignettes","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused"
"84",129,0,20,1,9,3,8,3,9,9,6.83333333333333,13,17,12,1,0,1,6,1,1
"85",196,0,18,1,9,3,7,9,6,8,7,5,18,0,18,3,0,0,6,0
"86",151,0,22,1,9,3,9,8,8,9,7.66666666666667,6,15,5,10,1,11,21,17,15
"87",95,0,18,1,4,2,5,9,8,4,5.33333333333333,18,6,6,2,0,1,5,3,0
"88",190,0,19,1,3,4,2,9,3,3,4,19,3,15,8,12,6,3,15,3
"89",49,0,21,1,7,2,9,9,9,9,7.5,19,1,20,1,2,2,3,2,2
"90",147,0,21,1,6,6,5,8,6,8,6.5,11,7,15,9,6,7,7,7,5
"91",181,0,21,1,9,3,9,9,9,9,8,16,2,17,2,3,2,3,1,5
"92",81,0,19,1,9,0,7,9,3,9,6.16666666666667,18,0,13,0,0,0,0,0,4
"93",25,0,20,1,9,3,2,9,5,9,6.16666666666667,16,0,21,0,6,0,2,0,4
"94",116,0,19,1,9,9,9,9,8,9,8.83333333333333,14,4,11,6,3,1,15,13,11
"95",41,0,18,1,8,1,0,6,9,9,5.5,10,1,13,10,1,10,6,1,14
"96",61,0,18,1,7,4,6,8,5,9,6.5,10,15,16,13,13,7,13,11,15
"97",57,0,19,1,8,0,5,9,5,5,5.33333333333333,11,0,7,0,1,3,0,0,1
"98",94,0,19,1,3,1,5,7,7,9,5.33333333333333,15,6,18,4,6,1,1,2,13
"99",139,0,18,1,9,3,6,9,6,9,7,17,1,13,1,1,0,12,1,16
"100",13,0,19,1,9,1,9,9,9,9,7.66666666666667,7,10,8,10,10,7,15,15,16
"101",24,0,18,1,2,6,3,5,6,3,4.16666666666667,13,1,10,8,1,6,0,0,0
"102",161,0,19,1,5,0,6,2,3,6,3.66666666666667,6,1,17,3,1,1,1,3,1
"103",179,0,19,1,9,2,4,9,3,9,6,20,0,18,0,0,0,11,0,1
"104",76,0,20,1,9,2,6,2,6,9,5.66666666666667,20,0,21,1,5,4,6,5,4
"105",132,0,18,1,3,0,9,6,6,3,4.5,3,10,9,1,2,2,14,6,20
"106",33,0,18,1,6,3,6,7,7,6,5.83333333333333,16,6,8,7,1,6,9,5,3
"107",182,0,20,1,9,0,9,9,8,9,7.33333333333333,13,14,12,3,3,3,16,14,17
"108",119,1,21,0,8,2,9,9,4,9,6.83333333333333,10,8,3,6,5,1,20,12,20
"109",159,1,18,0,8,2,7,7,6,8,6.33333333333333,17,3,14,6,2,5,2,2,6
"110",230,1,20,0,7,3,9,6,9,9,7.16666666666667,15,0,11,0,0,0,6,0,0
"111",68,1,19,0,9,5,6,9,7,9,7.5,16,0,11,2,0,0,6,2,9
"112",75,1,19,0,6,5,6,5,3,4,4.83333333333333,14,2,14,2,2,2,2,1,1
"113",168,1,19,0,9,2,8,8,6,9,7,7,3,12,1,1,1,9,2,4
"114",101,1,20,0,9,2,7,9,6,9,7,13,1,12,11,1,9,10,0,9
"115",175,1,47,0,6,3,9,9,9,9,7.5,10,1,11,0,0,4,0,0,0
"116",183,1,19,0,9,3,9,2,9,9,6.83333333333333,12,6,15,6,0,0,12,12,12
"117",237,1,18,0,7,3,9,6,9,8,7,17,1,19,1,5,1,3,1,1
"118",242,1,19,0,5,9,7,9,8,8,7.66666666666667,6,0,8,15,5,1,4,12,21
"119",55,1,19,0,7,3,7,5,8,9,6.5,15,2,11,3,1,1,2,1,2
"120",222,1,19,0,9,2,7,9,6,7,6.66666666666667,12,3,13,7,13,3,1,8,11
"121",144,1,21,0,8,2,3,8,9,9,6.5,11,1,15,4,18,1,14,6,1
"122",225,1,19,0,7,3,9,9,7,9,7.33333333333333,9,5,3,2,1,1,15,11,14
"123",52,1,19,0,9,3,9,9,6,6,7,14,3,16,3,7,2,1,2,9
"124",102,1,22,0,9,1,6,7,7,9,6.5,5,4,8,7,0,4,9,4,1
"125",226,1,19,0,9,4,9,6,8,9,7.5,4,2,7,3,1,3,1,1,1
"126",82,1,19,0,7,1,5,9,8,9,6.5,6,0,11,4,1,2,1,1,6
"127",32,1,20,0,9,3,4,9,4,9,6.33333333333333,11,14,6,2,1,15,10,13,0
"128",14,1,18,0,5,3,9,9,9,5,6.66666666666667,19,1,20,0,0,0,19,0,21
"129",128,1,28,0,6,3,9,6,9,9,7,17,1,16,2,1,1,1,1,1
"130",206,1,18,0,9,0,9,8,9,9,7.33333333333333,6,14,2,10,0,2,20,12,14
"131",130,1,21,0,9,9,9,9,9,9,9,3,8,3,1,1,1,20,16,13
"132",35,1,19,0,9,7,9,9,9,9,8.66666666666667,18,1,20,1,1,1,1,1,1
"133",20,1,18,0,9,3,8,9,7,9,7.5,5,1,15,4,1,1,11,2,8
"134",219,1,19,0,9,1,9,9,6,9,7.16666666666667,8,9,0,15,0,12,21,15,21
"135",88,1,18,0,6,2,5,7,3,9,5.33333333333333,19,1,7,1,2,2,10,1,1
"136",65,1,19,0,9,3,5,3,2,4,4.33333333333333,7,10,10,10,7,15,10,17,7
"137",177,1,19,0,9,3,6,9,6,9,7,7,1,7,1,1,5,1,1,5
