"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused","vignette"
"88",128,0,22,1,5,4,7,6,7,6,17,1,10,14,1,1,14,1,1,5.83333333333333
"89",129,1,20,0,7,2,7,4,7,7,6,2,2,4,4,0,21,6,21,5.66666666666667
"90",130,1,22,0,7,4,3,5,5,6,4,1,1,1,1,1,15,1,15,5
"91",133,1,21,1,6,2,7,6,6,7,8,11,3,7,10,1,20,7,18,5.66666666666667
"92",134,0,21,1,5,4,5,7,4,7,6,1,10,1,1,1,9,1,1,5.33333333333333
"93",135,0,20,0,5,2,7,7,7,6,3,7,2,7,1,1,21,7,18,5.66666666666667
"94",137,1,18,1,6,3,7,7,7,7,4,4,4,1,1,1,14,9,12,6.16666666666667
"95",139,0,25,0,6,4,7,7,6,6,14,11,4,4,0,0,22,12,13,6
"96",140,1,22,0,7,7,4,7,7,7,2,2,9,3,3,3,18,3,8,6.5
"97",144,1,22,0,6,4,7,7,7,7,11,12,11,11,11,11,21,12,15,6.33333333333333
"98",146,1,19,1,7,5,4,7,5,5,13,2,4,1,1,3,12,1,12,5.5
"99",147,0,19,0,5,5,7,6,7,6,2,2,2,4,4,7,13,4,9,6
"100",148,1,24,0,5,4,6,7,6,5,11,11,11,14,11,11,17,15,15,5.5
"101",149,0,19,0,6,3,7,7,7,7,0,4,0,10,11,5,21,12,21,6.16666666666667
"102",150,1,24,1,6,4,2,4,7,4,6,16,1,19,14,15,18,5,5,4.5
"103",152,0,20,0,5,3,7,6,7,7,6,4,3,2,5,2,18,3,18,5.83333333333333
"104",159,0,20,0,7,6,6,7,6,7,12,0,0,0,0,0,17,1,14,6.5
"105",160,0,18,0,6,3,5,6,5,6,5,9,1,4,8,6,18,9,16,5.16666666666667
"106",161,0,19,1,7,5,7,5,6,7,3,3,4,8,6,5,20,6,20,6.16666666666667
"107",176,1,19,0,7,3,7,4,7,7,2,12,1,6,8,0,21,21,21,5.83333333333333
"108",185,0,18,0,7,3,7,7,7,7,3,16,1,9,11,4,21,5,21,6.33333333333333
"109",194,1,23,0,6,4,6,6,5,7,11,6,2,12,1,1,20,12,1,5.66666666666667
"110",197,0,25,0,7,2,7,7,7,7,2,0,2,0,0,0,20,0,21,6.16666666666667
"111",199,1,19,1,7,3,6,6,5,6,13,2,4,2,2,2,13,2,13,5.5
"112",202,0,19,0,7,2,5,6,7,7,3,1,1,1,1,1,21,1,6,5.66666666666667
"113",203,0,19,0,5,4,7,7,7,7,1,1,1,15,1,1,21,17,1,6.16666666666667
"114",215,1,20,1,7,4,3,7,2,7,2,0,9,1,2,2,19,1,20,5
"115",221,0,18,0,7,5,4,7,4,5,4,11,0,5,15,10,21,20,5,5.33333333333333
"116",222,0,20,0,7,3,5,7,5,4,1,5,1,3,1,8,20,17,20,5.16666666666667
"117",229,0,22,0,7,4,7,6,6,7,3,0,16,0,0,0,21,2,18,6.16666666666667
"118",234,1,18,0,7,2,7,7,7,7,0,15,1,7,19,8,21,21,20,6.16666666666667
"119",237,1,25,1,6,3,7,7,7,7,0,0,0,11,0,0,21,10,0,6.16666666666667
"120",242,0,19,0,6,1,7,7,5,7,2,2,1,1,6,1,20,1,20,5.5
"121",243,1,22,1,5,3,3,5,5,6,2,14,2,10,12,14,21,12,6,4.5
