"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"35","MLB",25,0,22,0,4,1,4,2,2,1,1,2,2,2,1,1,1,1,2,4,4,1,3,1,1,1,2,1,1,4,1,1,2,1,1,1,3,1,1,1,2,3,3.33333333333333,2,4,6,5,1,2
"36","MLC",25,0,21,1,2,4,2,4,3,4,4,3,2,2,5,4,5,3,4,2,4,3,4,4,4,4,1,5,4,5,5,4,1,1,4,2,4,4,4,5,2,2,4,7,7,7,1,1,1
"37","MMA",26,0,19,0,4,2,4,1,3,4,2,1,5,3,2,3,2,4,2,4,5,2,4,1,1,1,3,1,1,3,4,3,1,1,1,4,4,1,1,1,2,1,1.83333333333333,2,2,1,3,2,1
"38","MMB",26,0,20,0,5,1,3,1,4,1,1,1,4,3,1,2,1,3,1,3,2,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4.5,7,7,1,1,7,4
"39","MMC",26,0,30,0,4,3,4,4,2,3,4,1,3,2,1,4,2,3,4,3,3,4,3,4,3,4,3,3,1,3,3,3,1,1,1,2,3,1,1,1,1,1,2.66666666666667,7,4,2,1,1,1
"40","MNA",28,0,21,0,5,1,1,3,2,1,3,1,3,1,1,4,1,3,4,4,5,1,4,1,2,3,1,3,1,5,1,1,1,4,1,3,1,2,3,2,3,3,7,7,7,7,7,7,7
"41","MNB",28,0,21,1,4,1,3,1,3,1,1,1,2,2,2,2,2,2,2,2,4,1,4,1,1,1,3,1,1,4,2,1,2,1,1,1,2,1,1,1,1,1,7,7,7,7,7,7,7
"42","MNC",28,0,19,0,4,1,2,2,2,1,1,1,4,3,1,4,1,2,1,4,5,1,3,1,1,1,3,1,1,3,3,4,1,1,1,4,4,1,1,1,1,1,7,7,7,7,7,7,7
"43","MOA",29,0,24,1,4,1,2,1,3,3,1,1,3,3,1,2,1,1,2,3,4,2,3,1,1,1,2,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,3.83333333333333,4,3,1,4,4,7
"44","MOB",29,0,21,1,2,1,1,1,2,1,1,1,3,3,1,4,1,3,1,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,3.83333333333333,4,1,6,4,3,5
