"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"112","KLA",23,1,20,0,3,1,3,4,3,1,1,2,3,4,2,2,2,1,2,1,3,1,3,1,2,2,2,2,1,5,1,1,5,2,1,1,3,1,1,4,9,8,6,7,7,7,7,1,7
"113","KLB",23,1,21,0,3,1,1,2,3,1,2,1,3,1,1,4,1,2,2,2,4,1,4,1,2,1,1,4,1,4,3,1,3,1,1,2,1,1,1,2,4,6,1.33333333333333,1,1,1,2,2,1
"114","KLC",23,1,21,1,5,4,4,4,3,2,3,1,4,3,1,3,2,4,2,4,4,1,4,2,3,2,1,2,3,5,1,2,5,3,1,4,4,2,2,4,8,8,3.5,6,5,1,3,5,1
"115","KMA",24,1,21,0,5,2,3,2,2,1,1,1,3,3,2,4,2,3,1,3,4,1,4,2,3,4,2,3,3,4,2,3,4,2,4,3,3,2,2,4,7,6,4,4,3,5,4,3,5
"116","KMB",24,1,19,0,5,1,4,2,2,1,1,1,5,3,1,1,2,4,1,4,4,1,4,1,2,2,2,1,1,5,5,3,4,1,1,3,4,3,3,3,8,6,5.16666666666667,5,5,6,6,5,4
"117","KMC",24,1,19,0,4,2,4,1,3,2,1,1,4,3,2,4,2,2,1,3,4,1,4,1,2,1,2,1,1,5,2,3,3,1,1,2,4,1,1,3,7,4,7,7,7,7,7,7,7
"118","KNA",27,1,20,1,4,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,4,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,5.33333333333333,7,5,5,5,5,5
"119","KNB",27,1,22,0,4,1,4,3,4,1,1,1,3,4,1,2,1,4,1,5,4,1,4,1,2,1,3,1,1,5,3,3,3,1,1,3,4,1,1,3,6,7,6.33333333333333,7,7,7,6,6,5
"120","KNC",27,1,22,0,3,2,4,4,2,4,2,3,2,1,2,4,3,4,4,3,4,3,4,3,3,4,1,4,4,3,1,1,4,4,4,1,1,1,3,5,7,8,5.5,5,6,7,5,5,5
"121","KOA",30,1,19,0,4,1,4,1,4,1,2,1,5,3,1,1,2,2,2,4,1,1,4,1,3,3,2,2,1,5,1,2,4,2,1,1,4,3,2,1,8,5,1.83333333333333,5,1,2,1,1,1
"122","KOB",30,1,19,0,4,2,4,3,3,1,2,1,4,4,1,3,1,4,2,3,4,2,4,2,4,4,2,3,3,5,4,3,3,2,2,2,4,2,2,4,4,4,2.16666666666667,2,4,1,4,1,1
"123","KOC",30,1,19,0,4,1,4,1,2,1,1,1,4,2,1,3,2,3,3,3,3,2,4,1,2,2,3,2,1,5,5,4,2,3,1,5,3,2,1,2,4,3,2.5,5,4,1,3,1,1
"124","KPA",31,1,21,1,4,2,4,4,2,1,1,1,2,3,1,1,2,1,4,2,1,2,4,1,1,1,2,1,1,5,1,4,4,1,1,4,4,1,2,1,8,7,7,7,7,7,7,7,7
"125","KPB",31,1,26,0,3,1,1,1,4,1,1,1,3,3,1,2,1,2,1,2,3,1,3,1,2,2,2,1,1,4,3,2,3,2,1,2,2,1,1,3,7,6,7,7,7,7,7,7,7
"126","KPC",31,1,20,0,3,2,3,1,4,2,2,1,4,4,2,3,2,4,3,3,4,2,4,2,3,2,2,2,2,4,4,3,4,2,1,3,3,3,3,2,7,7,7,7,7,7,7,7,7
"127","KQA",33,1,22,1,4,2,4,1,3,1,1,1,4,3,1,5,1,4,2,4,5,1,4,1,1,1,3,2,1,3,4,3,1,1,1,2,4,1,1,1,3,6,5.33333333333333,7,2,4,7,7,5
"128","KQB",33,1,22,1,4,1,4,4,4,1,1,2,4,3,1,2,1,3,2,3,4,1,5,2,1,2,3,1,1,2,3,2,3,1,1,3,4,1,1,3,7,7,6.16666666666667,7,7,6,7,5,5
"129","KQC",33,1,25,0,3,2,4,3,4,1,2,1,4,3,1,3,2,4,3,4,3,2,4,3,2,2,3,2,2,5,3,4,2,1,1,4,3,2,2,3,7,4,4.5,5,4,5,4,5,4
"130","KRA",34,1,21,0,4,1,2,1,4,1,1,1,3,3,1,3,1,1,1,4,4,1,3,1,1,1,NA,1,1,5,2,1,3,1,1,1,4,1,1,2,3,3,2.33333333333333,4,2,2,2,2,2
"131","KRB",34,1,20,0,4,1,3,4,2,3,2,1,4,1,2,3,4,4,3,2,3,2,2,1,1,1,2,3,2,4,3,2,4,4,1,2,3,1,2,3,8,7,1.83333333333333,4,2,1,1,2,1
"132","KRC",34,1,22,0,4,1,2,1,3,1,1,1,4,3,1,3,1,3,2,3,4,2,4,1,2,2,3,2,3,4,3,3,4,3,1,2,4,3,3,4,8,7,1.16666666666667,1,1,1,2,1,1
"133","KSA",35,1,20,0,4,2,4,4,3,2,3,1,4,3,1,4,1,2,4,4,3,4,3,3,3,2,2,4,1,5,3,4,4,3,1,3,4,2,4,1,7,7,4.16666666666667,4,4,5,6,2,4
"134","KSB",35,1,23,0,3,1,2,1,3,1,1,1,2,2,1,3,1,1,1,3,2,1,2,1,1,1,2,2,1,3,2,1,3,1,1,1,2,1,1,1,7,4,4.16666666666667,5,3,5,6,4,2
"135","KSC",35,1,20,1,4,1,4,2,2,2,1,1,3,2,1,4,1,5,2,3,4,1,3,1,2,2,1,2,1,4,3,2,3,1,1,4,4,1,1,2,6,8,3.5,1,3,6,2,4,5
"136","KTA",38,1,20,1,2,2,2,2,2,1,3,1,2,1,1,2,1,2,3,2,3,2,2,2,2,2,2,2,1,2,1,1,3,1,1,1,1,1,1,2,3,3,2.66666666666667,6,6,1,1,1,1
"137","KTB",38,1,21,0,4,1,4,4,5,1,2,1,4,5,1,2,1,4,1,5,2,1,5,1,2,1,1,2,3,5,5,1,3,1,2,1,5,1,2,2,3,3,3.33333333333333,4,2,5,1,1,7
"138","KTC",38,1,20,1,4,1,3,1,3,2,1,1,3,3,2,2,1,4,2,3,2,1,4,1,4,3,1,4,2,4,NA,3,4,4,1,2,4,1,1,4,8,8,5.66666666666667,7,1,7,5,7,7
"139","KUA",39,1,25,0,3,2,3,2,2,2,1,1,2,2,1,3,2,2,2,2,4,2,4,2,2,2,1,4,2,4,3,3,4,2,1,3,2,2,2,4,8,7,4,7,6,6,2,2,1
"140","KUB",39,1,19,1,4,1,5,2,4,2,1,1,4,3,2,3,2,3,3,3,3,2,4,1,1,2,4,2,1,5,2,3,2,1,1,3,4,1,1,2,4,2,4,3,6,5,4,3,3
"141","KUC",39,1,19,0,3,1,2,4,1,1,1,1,3,1,1,4,2,1,4,4,4,2,3,3,4,2,1,5,3,5,1,1,3,1,1,1,3,1,1,3,4,5,3.33333333333333,4,4,2,1,4,5
"142","KVA",41,1,21,0,3,4,3,3,4,1,1,1,3,3,2,5,1,4,2,3,5,1,5,1,1,1,4,1,2,4,4,4,3,3,1,4,3,1,1,3,6,7,3.5,3,4,3,6,3,2
"143","KVB",41,1,26,1,4,3,3,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,6,5,3,4,3,4,2,3,2
"144","KVC",41,1,20,0,5,1,3,4,3,1,1,1,3,2,1,3,1,3,2,3,5,2,5,1,1,1,4,4,1,5,3,3,4,2,1,1,4,2,1,3,8,7,3.5,1,4,3,5,1,7
"145","KWA",44,1,21,1,4,2,3,4,3,1,1,1,2,2,1,3,3,4,3,2,4,1,3,1,4,2,2,3,1,4,2,1,4,1,1,3,2,2,3,3,8,7,4.16666666666667,5,3,4,6,5,2
"146","KWB",44,1,23,0,4,2,3,2,3,1,1,1,4,4,1,2,1,4,3,5,5,3,3,1,1,1,2,2,1,5,5,4,3,1,1,2,3,1,1,2,6,4,3.16666666666667,5,4,3,4,2,1
"147","KWC",44,1,21,1,2,1,3,2,3,1,2,1,3,3,1,2,1,2,2,3,4,1,3,1,1,1,1,1,1,4,3,3,2,1,1,3,3,1,1,1,6,8,3.66666666666667,5,2,6,1,4,4
"148","KXA",47,1,NA,0,3,3,3,3,4,2,2,2,3,3,2,3,2,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,5,6,6,7,5,4,2
"149","KXB",47,1,21,0,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,2,1,2,1,1,5,4,3,3,1,1,3,3,1,1,1,4,6,1.16666666666667,1,1,2,1,1,1
"150","KXC",47,1,23,0,4,1,2,1,5,1,1,1,5,5,1,2,1,4,2,5,5,1,4,1,1,1,3,2,1,5,5,3,3,1,1,3,4,2,1,1,3,7,2,7,1,1,1,1,1
"151","KYA",48,1,21,0,4,1,4,1,3,1,1,2,4,3,1,3,2,3,2,4,4,1,5,1,1,1,2,1,1,5,4,1,4,1,1,1,4,1,1,1,6,7,5,1,2,7,7,7,6
"152","KYB",48,1,19,0,4,5,2,1,2,3,1,1,2,1,2,3,4,3,1,1,3,1,4,2,2,1,1,4,1,4,3,1,5,3,2,1,1,1,1,3,4,7,4,1,1,3,7,5,7
"153","KYC",48,1,19,0,4,1,2,3,3,1,2,1,3,4,1,2,2,4,3,4,4,2,4,3,3,2,2,3,2,4,3,2,4,2,1,3,4,NA,2,2,4,5,5.33333333333333,6,5,5,4,6,6
