"","Consent","Pre_Perc_1","Pre_Cert","C1","Post_Perc_1","Post_Cert","Check","Check_4_TEXT","See","Pet_Agree","Pet_Conv","Pie_Agree","Pie_Conv","Age","Gender","Party","Educ","Occ","Live","ConditionOne","ConditionTwo","ConditionThree","ConditionFour","ConditionFive","Gender_female","Education_college","Party_democrat"
"477",1,80,5,8,81,5,4,"I am paying attention.",5,NA,NA,NA,NA,3,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"478",1,92,5,NA,97,7,4,"I am paying attention.",4,4,4,6,6,2,2,2,2,2,1,NA,NA,NA,NA,1,1,1,0
"479",1,43,3,NA,41,3,4,"I am paying attention",2,3,2,NA,NA,2,1,2,2,2,1,NA,NA,1,NA,NA,0,1,0
"480",1,73,3,NA,97,5,4,"I am paying attention.",4,5,4,2,2,2,2,3,2,2,1,NA,NA,NA,NA,1,1,1,0
"481",1,99,6,NA,97,7,4,"I am paying attention.",4,1,1,7,6,2,1,1,1,2,1,NA,NA,NA,1,NA,0,0,1
"482",1,90,6,NA,97,7,4,"I am paying attention.",1,NA,NA,7,7,2,2,3,3,2,1,NA,1,NA,NA,NA,1,1,0
"483",1,93,7,NA,95,6,4,"I am paying attention.",2,6,7,NA,NA,2,1,1,2,2,1,NA,NA,1,NA,NA,0,1,1
"484",1,94,5,8,94,6,4,"I am paying attention",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"485",1,95,4,NA,97,5,4,"I am paying attention.",1,NA,NA,5,5,2,1,1,2,2,1,NA,1,NA,NA,NA,0,1,1
"486",1,85,3,NA,97,7,4,"I am paying attention",4,4,3,5,6,2,2,2,2,2,1,NA,NA,NA,1,NA,1,1,0
"487",1,98,7,NA,97,7,4,"I am paying attention",4,4,1,7,4,2,1,1,2,2,1,NA,NA,NA,NA,1,0,1,1
"488",1,97,7,8,97,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
