"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"54",1,0,0,99.3,1,19,0,1,1,1,7,1,7,1,1
"55",0,0,1,92.2,1,50,0,0,4,4,1,4,1,7,1
"56",0,1,0,66.9,1,21,0,0,4,6,3,4,1,3,1
"57",1,0,0,75.3,1,18,0,1,1,1,7,1,7,1,1
"58",0,0,1,68.9922480620155,0,21,0,1,4,4,4,7,1,5,2
"59",1,0,0,59.9483204134367,0,21,0,0,3,1,6,2,2,4,2
"60",0,0,1,68.2170542635659,0,21,0,1,4,1,1,4,1,6,2
"61",0,0,1,56.2015503875969,0,20,0,1,4,1,1,7,2,5,2
"62",0,0,1,83.2041343669251,0,20,1,0,5,2,1,4,1,7,2
"63",1,0,0,43.1524547803618,0,20,0,1,3,1,6,1,4,5,2
"64",1,0,0,63.0490956072351,0,20,0,1,4,2,6,1,2,4,2
"65",0,0,1,62.1447028423773,0,19,1,0,3,4,4,7,4,4,2
"66",0,1,0,71.8346253229974,0,22,0,1,5,5,1,2,1,6,2
"67",1,0,0,67.1834625322997,0,20,0,1,1,2,7,1,6,1,2
"68",0,1,0,64.7286821705426,0,20,0,1,5,5,5,1,1,6,2
"69",1,0,0,68.2170542635659,0,22,0,1,2,1,6,1,4,1,2
"70",0,0,1,79.9741602067184,0,20,1,0,4,1,1,7,1,7,2
"71",0,1,0,61.4987080103359,0,20,0,1,4,7,1,2,4,3,2
"72",0,0,1,71.9638242894057,0,21,0,1,4,4,1,7,1,6,2
"73",0,1,0,71.8346253229974,0,21,0,1,5,5,4,2,2,3,2
"74",0,0,1,49.0956072351421,0,20,0,1,4,1,1,4,1,2,2
"75",0,0,1,66.6666666666667,0,20,0,1,4,1,1,4,1,4,2
"76",0,0,1,71.9638242894057,0,20,0,1,4,1,1,7,1,6,2
"77",1,0,0,76.2273901808785,1,23,0,1,1,1,7,1,6,2,2
"78",0,0,1,94.702842377261,0,20,0,0,5,1,1,4,1,7,2
"79",0,0,1,64.2118863049096,0,22,0,0,4,1,1,7,1,4,2
"80",0,0,1,74.6770025839793,0,21,0,0,4,1,1,7,1,7,2
"81",1,0,0,68.733850129199,0,20,0,1,2,1,6,1,5,3,2
"82",1,0,0,80.3617571059431,1,20,0,0,2,1,7,1,5,2,2
"83",1,0,0,67.7002583979328,1,22,0,0,1,1,6,1,5,1,2
"84",0,1,0,73.7726098191214,0,20,0,1,6,7,1,1,1,5,2
"85",1,0,0,58.9147286821705,0,20,0,1,1,1,7,1,6,2,2
"86",1,0,0,67.4418604651163,0,22,0,1,1,1,6,1,3,1,2
"87",0,1,0,82.4289405684754,0,19,0,1,4,6,1,1,1,2,2
"88",0,0,1,63.5658914728682,0,20,0,1,6,1,1,4,1,7,2
"89",0,1,0,80.4909560723514,0,21,0,1,5,6,1,1,2,3,2
"90",0,0,1,40.5684754521964,0,21,0,1,3,1,1,7,1,7,2
"91",1,0,0,80.3617571059431,0,20,1,0,1,1,7,1,7,1,2
"92",1,0,0,81.0077519379845,0,20,0,1,1,1,7,1,7,1,2
"93",0,1,0,71.3178294573643,0,24,0,1,5,6,1,2,1,2,2
"94",0,0,1,75.5813953488372,0,20,0,1,4,1,1,7,1,7,2
"95",1,0,0,54.9095607235142,0,20,1,0,2,1,6,1,4,2,2
"96",1,0,0,68.6046511627907,1,19,0,1,1,2,6,1,6,1,2
"97",0,1,0,62.5322997416021,0,20,0,1,4,6,1,1,3,2,2
