"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"120",0,0,1,62.5,0,19,FALSE,TRUE,4,1,1,7,1,5
"121",0,1,0,65,1,22,FALSE,TRUE,6,4,2,3,1,7
"122",0,1,0,83,0,21,FALSE,TRUE,7,7,1,2,1,6
"123",1,0,0,60.1666666666667,0,19,FALSE,TRUE,1,6,6,1,6,1
"124",0,0,0,84.6666666666667,0,19,FALSE,FALSE,7,4,4,4,1,7
"125",0,1,0,82,0,19,TRUE,FALSE,6,6,1,1,1,6
"126",0,0,1,71.3333333333333,0,19,FALSE,TRUE,4,1,1,4,1,4
"127",1,0,0,57.8,1,22,TRUE,FALSE,3,3,5,3,5,3
"128",0,0,1,65.5,0,18,FALSE,TRUE,4,2,1,3,1,6
"129",0,0,0,70,1,21,FALSE,FALSE,1,1,7,2,4,1
"130",1,0,0,34.3333333333333,0,19,FALSE,TRUE,1,1,7,1,7,1
"131",0,0,1,52.5,0,21,FALSE,TRUE,4,4,1,7,1,7
"132",0,1,0,87.8333333333333,1,22,FALSE,TRUE,6,6,2,2,2,5
"133",0,1,0,72.3333333333333,0,20,FALSE,TRUE,7,4,1,2,1,7
"134",0,1,0,80.1666666666667,0,23,FALSE,TRUE,6,5,4,1,1,5
"135",0,1,0,67.8333333333333,0,20,FALSE,TRUE,7,7,1,1,1,5
"136",1,0,0,58,0,20,FALSE,TRUE,1,1,7,1,7,1
"137",0,0,0,70.6,0,21,FALSE,FALSE,4,1,1,7,1,4
"138",1,0,0,51.6666666666667,0,18,FALSE,TRUE,1,6,5,1,7,1
"139",0,1,0,73.5,0,19,FALSE,TRUE,4,5,2,4,1,3
"140",0,0,1,78,1,21,FALSE,TRUE,3,1,1,7,2,4
"141",0,0,0,59.8,0,18,FALSE,FALSE,2,5,4,1,4,2
"142",0,1,0,42.3333333333333,0,19,FALSE,TRUE,4,5,5,3,5,3
"143",0,0,1,76.3333333333333,0,19,FALSE,TRUE,1,5,1,1,4,4
"144",1,0,0,55.6666666666667,0,21,FALSE,TRUE,1,5,5,1,7,1
"145",0,0,1,83.1666666666667,1,21,TRUE,FALSE,6,4,4,7,1,7
"146",0,1,0,43,1,21,FALSE,TRUE,5,6,1,2,1,6
"147",0,0,0,43.2,1,20,FALSE,TRUE,6,5,2,1,1,5
"148",1,0,0,53.6666666666667,1,22,FALSE,TRUE,2,2,5,1,5,2
"149",0,0,0,79.5,1,22,FALSE,FALSE,5,1,1,7,1,7
"150",0,1,0,52.4,1,23,TRUE,FALSE,7,4,7,1,1,2
"151",0,0,0,56.1666666666667,1,22,FALSE,FALSE,4,3,6,1,1,4
